Date	Italy
2017-08-27	-1.22940954556
2017-08-28	-1.34550841479
2017-08-29	-1.23093154109
2017-08-30	
2017-08-31	-1.23268405542
2017-09-01	1.62324082224
2017-09-02	0.995399547049
2017-09-03	0.461949716345
2017-09-04	0.24613180758
2017-09-05	0.202755566896
2017-09-06	0.445780920939
2017-09-07	3.21819786349
2017-09-08	1.77837583803
2017-09-09	1.84584414618
2017-09-10	1.89996901378
2017-09-11	0.779459879258
2017-09-12	0.907224503908
2017-09-13	0.817069666375
2017-09-14	0.986293012887
2017-09-15	0.720281401214
2017-09-16	0.787722181169
2017-09-17	0.56480028346
2017-09-18	2.35616024588
2017-09-19	
2017-09-20	4.08224872919
2017-09-21	1.16161213349
2017-09-22	1.36418093269
2017-09-23	1.10863703732
2017-09-24	1.70517457632
2017-09-25	1.59773685007
2017-09-26	0.45110434808
2017-09-27	-1.79376105383
2017-09-28	-2.04664387401
2017-09-29	-2.10546638991
2017-09-30	-1.63588426603
2017-10-01	-1.41941775741
2017-10-02	-1.98006189219
2017-10-03	-2.42970561652
2017-10-04	-3.11798491235
2017-10-05	-2.86623448528
2017-10-06	-2.9342145971
2017-10-07	-2.84189424006
2017-10-08	-3.01165480921
2017-10-09	
2017-10-10	
2017-10-11	
2017-10-12	
2017-10-13	1.30126528956
2017-10-14	0.749947710676
2017-10-15	-1.25609860259
2017-10-16	-1.45798833296
2017-10-17	-1.03464537923
2017-10-18	-1.11766208654
2017-10-19	-1.22543703272
2017-10-20	-2.90971056626
2017-10-21	-3.26670836916
2017-10-22	
2017-10-23	
2017-10-24	
2017-10-25	
2017-10-26	-3.77949967679
2017-10-27	-3.77027587986
2017-10-28	-2.64542403072
2017-10-29	-2.85449800264
2017-10-30	-2.73168984246
2017-10-31	-2.89545618047
2017-11-01	-0.701210539443
2017-11-02	1.39991450904
2017-11-03	1.00287474248
2017-11-04	1.14826645799
2017-11-05	1.05828287513
2017-11-06	1.09708959834
2017-11-07	1.20636262423
2017-11-08	1.18523925859
2017-11-09	1.1814515759
2017-11-10	1.82100935195
2017-11-11	0.714676467051
2017-11-12	1.30578565577
2017-11-13	1.08799457093
2017-11-14	1.1636218582
2017-11-15	
2017-11-16	
2017-11-17	
2017-11-18	
2017-11-19	
2017-11-20	
2017-11-21	
2017-11-22	
2017-11-23	
2017-11-24	
2017-11-25	
2017-11-26	
2017-11-27	-2.42561877312
2017-11-28	-2.47758172029
2017-11-29	-2.64225807552
2017-11-30	-2.38934841536
2017-12-01	-2.27083238391
2017-12-02	-3.15468457609
2017-12-03	-2.98065809777
2017-12-04	
2017-12-05	-2.61015615158
2017-12-06	-2.53042276516
2017-12-07	-2.57961476776
2017-12-08	-3.18648174239
2017-12-09	-2.24521374338
2017-12-10	-2.47575706813
2017-12-11	-2.5968837351
2017-12-12	
2017-12-13	-4.57373816316
2017-12-14	-4.74998326922
2017-12-15	-3.20834855944
2017-12-16	-4.56448743325
2017-12-17	-4.19003710804
2017-12-18	-4.12244327908
2017-12-19	-3.87891809029
2017-12-20	-2.56960736141
2017-12-21	-2.51393068584
2017-12-22	-2.08979727636
2017-12-23	-1.48131993837
2017-12-24	-1.61304507017
2017-12-25	-1.395098574
2017-12-26	-0.684483899354
2017-12-27	-0.990859272554
2017-12-28	-0.361130937691
2017-12-29	-0.318211002086
2017-12-30	0.501413291803
2017-12-31	0.271939924518
2018-01-01	0.147069922306
2018-01-02	-0.175239290099
2018-01-03	0.0995629776502
2018-01-04	-0.0324172773497
2018-01-05	0.0773870473667
2018-01-06	0.0915677528801
2018-01-07	0.189390992806
2018-01-08	0.623871328009
2018-01-09	-0.102273061517
2018-01-10	-0.709926279212
2018-01-11	-1.36333859706
2018-01-12	-2.7341795999
2018-01-13	-1.76992246047
2018-01-14	-1.94371392225
2018-01-15	-2.85845142601
2018-01-16	-3.04763455855
2018-01-17	-3.69268389988
2018-01-18	-3.70904829015
2018-01-19	-2.28585013963
2018-01-20	-3.07851638019
2018-01-21	-2.88109021217
2018-01-22	-2.01371896927
2018-01-23	-2.18985558069
2018-01-24	-0.513797024148
2018-01-25	-0.691292966596
2018-01-26	-0.800746590606
2018-01-27	-1.32457836335
2018-01-28	-1.21441282239
2018-01-29	-0.318455528622
2018-01-30	3.60011578059
2018-01-31	-2.24849697923
2018-02-01	-2.20950353194
2018-02-02	-1.92761129737
2018-02-03	-1.78124691605
2018-02-04	-2.25249297869
2018-02-05	-2.10667041494
2018-02-06	-1.7733745631
2018-02-07	
2018-02-08	
2018-02-09	
2018-02-10	
2018-02-11	
2018-02-12	
2018-02-13	
2018-02-14	
2018-02-15	-2.95859075063
2018-02-16	-3.58535659106
2018-02-17	-3.0393606734
2018-02-18	-2.58316504678
2018-02-19	-2.81822783263
2018-02-20	-3.31643286095
2018-02-21	-3.53545600735
2018-02-22	-2.14677268778
2018-02-23	-2.90930527816
2018-02-24	-3.13780363898
2018-02-25	-3.29333399028
2018-02-26	-3.2987742954
2018-02-27	-2.82400789367
2018-02-28	-2.40498902759
2018-03-01	-3.08528202252
2018-03-02	-2.63449145267
2018-03-03	-2.79014419327
2018-03-04	-2.40090196299
2018-03-05	-2.10456250785
2018-03-06	-2.24527965581
2018-03-07	-2.53269250404
2018-03-08	-2.70062755314
2018-03-09	-2.85131753933
2018-03-10	-2.60657674435
2018-03-11	-2.93551423681
2018-03-12	-3.25438600645
2018-03-13	-3.99153895867
2018-03-14	-2.58352638171
2018-03-15	-1.62452497239
2018-03-16	-1.86152608309
2018-03-17	-2.22160077845
2018-03-18	-2.60796818292
2018-03-19	-2.1938618118
2018-03-20	-1.44262487744
2018-03-21	-2.64834697209
2018-03-22	-2.49946924389
2018-03-23	-2.23533964665
2018-03-24	-2.47026622725
2018-03-25	-1.7703609941
2018-03-26	
2018-03-27	
2018-03-28	
2018-03-29	
2018-03-30	
2018-03-31	
2018-04-01	
2018-04-02	
2018-04-03	
2018-04-04	
2018-04-05	
2018-04-06	
2018-04-07	
2018-04-08	
2018-04-09	
2018-04-10	
2018-04-11	
2018-04-12	
2018-04-13	
2018-04-14	
2018-04-15	
2018-04-16	
2018-04-17	
2018-04-18	
2018-04-19	
2018-04-20	
2018-04-21	
2018-04-22	
2018-04-23	-1.30505992297
2018-04-24	-1.80900989986
2018-04-25	-2.19214381127
2018-04-26	-2.48558054953
2018-04-27	-3.27037096853
2018-04-28	-3.27037096853
2018-04-29	-3.27037096853
2018-04-30	
2018-05-01	
2018-05-02	1.34532525304
2018-05-03	2.03282271544
2018-05-04	-0.565737836126
2018-05-05	-0.565737836126
2018-05-06	-0.356184750444
2018-05-07	-0.113703406462
2018-05-08	-0.234421380157
2018-05-09	-0.8768786385
2018-05-10	-0.755412677822
2018-05-11	-0.213192716345
2018-05-12	-0.886261653679
2018-05-13	-1.20789413832
2018-05-14	-0.919159538691
2018-05-15	-0.736656972216
2018-05-16	-0.515609177656
2018-05-17	-0.53125113551
2018-05-18	0.546673641453
2018-05-19	1.29172276719
2018-05-20	1.07640980653
2018-05-21	-0.0326630612516
2018-05-22	0.328645274231
2018-05-23	-0.855200977661
2018-05-24	-0.455724594547
2018-05-25	-0.483260126931
2018-05-26	-0.590771300857
2018-05-27	-0.220247320612
2018-05-28	0.268898018977
2018-05-29	-0.0325645001361
2018-05-30	0.899148097922
2018-05-31	2.02826865409
2018-06-01	2.00395361029
2018-06-02	2.39534843684
2018-06-03	0.194712433379
2018-06-04	-0.241687324269
2018-06-05	-0.747148783347
2018-06-06	-0.770553457562
2018-06-07	-2.03592613867
2018-06-08	-1.7425758571
2018-06-09	-2.36451257331
2018-06-10	-1.27313668828
2018-06-11	-0.936942624939
2018-06-12	-0.672102236558
2018-06-13	-0.733320428524
2018-06-14	1.37087250838
2018-06-15	2.12199291473
2018-06-16	2.35176587011
2018-06-17	0.433421018925
2018-06-18	0.772235935557
2018-06-19	0.186061466048
2018-06-20	-0.107986926081
2018-06-21	-3.35878519876
2018-06-22	-3.11698749158
2018-06-23	-3.7992878655
2018-06-24	-4.25458419052
2018-06-25	-3.93299934558
2018-06-26	-4.01352189012
2018-06-27	-2.93017408563
2018-06-28	-2.76285265508
2018-06-29	-3.08203020641
2018-06-30	-2.24419957635
2018-07-01	-1.04071235525
2018-07-02	-1.46727261656
2018-07-03	-1.25248030704
2018-07-04	-1.62462440788
2018-07-05	-3.0460823044
2018-07-06	-3.32318516481
2018-07-07	-3.32318516481
2018-07-08	-3.57906784987
2018-07-09	
2018-07-10	
2018-07-11	
2018-07-12	
2018-07-13	
2018-07-14	
2018-07-15	
2018-07-16	
2018-07-17	
2018-07-18	
2018-07-19	
2018-07-20	
2018-07-21	
2018-07-22	
2018-07-23	
2018-07-24	2.91689576374
2018-07-25	2.83757573871
2018-07-26	3.11304356284
2018-07-27	3.1516114866
2018-07-28	2.64471729757
2018-07-29	2.34369026272
2018-07-30	2.01510822952
2018-07-31	
2018-08-01	
2018-08-02	
2018-08-03	
2018-08-04	
2018-08-05	
2018-08-06	
2018-08-07	
2018-08-08	
2018-08-09	-1.96756591432
2018-08-10	-1.51687220012
2018-08-11	-1.51687220012
2018-08-12	-2.20616610981
2018-08-13	-2.39339734449
2018-08-14	-2.25326419917
2018-08-15	-2.06176843691
2018-08-16	-1.76857073283
2018-08-17	-2.03923052119
2018-08-18	-2.03923052119
2018-08-19	-1.91225599884
2018-08-20	-1.46147698802
2018-08-21	-1.32309411842
2018-08-22	-1.32848583141
2018-08-23	-1.29566093383
2018-08-24	-1.34004717982
2018-08-25	-1.34004717982
2018-08-26	-0.923642709954
2018-08-27	-0.899558471094
2018-08-28	-1.04465367433
2018-08-29	-1.14267670392
2018-08-30	-1.15903892031
2018-08-31	-1.68845272758
2018-09-01	-1.68845272758
2018-09-02	-1.68845272758
2018-09-03	-1.12652750567
2018-09-04	-1.46349634454
2018-09-05	-1.27429206019
2018-09-06	-1.70230630294
2018-09-07	-0.399670084043
2018-09-08	-0.399670084043
2018-09-09	-0.399670084043
2018-09-10	-0.78107318158
2018-09-11	-0.712166841255
2018-09-12	-0.870903546421
2018-09-13	-0.33410003952
2018-09-14	-0.713585266375
2018-09-15	-0.713585266375
2018-09-16	-0.20601010266
2018-09-17	0.0805492694313
2018-09-18	0.0157564586007
2018-09-19	0.241998599099
2018-09-20	-0.298482446387
2018-09-21	-0.284024247613
2018-09-22	-0.284024247613
2018-09-23	-0.700745753102
2018-09-24	-0.74382726661
2018-09-25	-0.499522816841
2018-09-26	0.232598830204
2018-09-27	0.391176534378
2018-09-28	0.0415821516043
2018-09-29	-0.317364088646
2018-09-30	-0.371653254737
2018-10-01	-0.0336542500311
2018-10-02	0.29092050485
2018-10-03	-0.168333999562
2018-10-04	0.0491260098474
2018-10-05	-0.306906170933
2018-10-06	-0.258419951798
2018-10-07	0.0153595495878
2018-10-08	-0.369851226341
2018-10-09	-1.10422147575
2018-10-10	-0.607021276863
2018-10-11	-1.52638012087
2018-10-12	-0.596710633349
2018-10-13	-0.611734563092
2018-10-14	-0.473598734143
2018-10-15	-0.460437795838
2018-10-16	-0.0692539636073
2018-10-17	-0.142786336067
2018-10-18	0.614720787212
2018-10-19	0.209760474956
2018-10-20	0.430739673785
2018-10-21	0.281783701316
2018-10-22	0.313229244939
2018-10-23	0.966511590975
2018-10-24	0.674539040269
2018-10-25	-0.0693199995324
2018-10-26	-0.115992040701
2018-10-27	-0.197066929973
2018-10-28	-0.167723335284
2018-10-29	-0.150162142258
2018-10-30	-0.471034859502
2018-10-31	0.23894943595
2018-11-01	0.804322501954
2018-11-02	0.0123025388264
2018-11-03	-0.262943671402
2018-11-04	-0.965663082882
2018-11-05	-1.09383556556
2018-11-06	-1.19833817739
2018-11-07	-1.78798413078
2018-11-08	-1.66232111857
2018-11-09	-1.10624839759
2018-11-10	-1.10624839759
2018-11-11	-0.499243149925
2018-11-12	-0.232327769343
2018-11-13	
2018-11-14	
2018-11-15	
2018-11-16	
2018-11-17	
2018-11-18	
2018-11-19	
2018-11-20	-1.21861857839
2018-11-21	-1.3952406703
2018-11-22	-1.22563535538
2018-11-23	-1.1587875574
2018-11-24	-2.10325607171
2018-11-25	-2.21127016261
2018-11-26	-2.40300863678
2018-11-27	-2.66626074543
2018-11-28	-2.8426784669
2018-11-29	-2.87937393612
2018-11-30	-2.95450313905
2018-12-01	-2.27565877538
2018-12-02	-2.23413709068
2018-12-03	-0.0479927397001
2018-12-04	1.98151116545
2018-12-05	2.34292282322
2018-12-06	2.46413261928
2018-12-07	2.20468452211
2018-12-08	2.16134936578
2018-12-09	1.41299142407
2018-12-10	0.568065198687
2018-12-11	0.373855002794
2018-12-12	-0.397408235402
2018-12-13	-1.91667218658
2018-12-14	-1.59315848417
2018-12-15	-1.58957236818
2018-12-16	-1.56154058089
2018-12-17	-2.52945271605
2018-12-18	-2.27732688234
2018-12-19	-1.92925898746
2018-12-20	
2018-12-21	
2018-12-22	
2018-12-23	
2018-12-24	
2018-12-25	
2018-12-26	
2018-12-27	-0.737183141357
2018-12-28	-0.65355467997
2018-12-29	-0.383946070307
2018-12-30	-0.258477106697
2018-12-31	-0.448267509046
2019-01-01	-0.0416194214765
2019-01-02	0.230193237249
2019-01-03	
2019-01-04	
2019-01-05	
2019-01-06	
2019-01-07	
2019-01-08	0.194712032082
2019-01-09	0.236814407656
2019-01-10	0.118720091406
2019-01-11	-0.220662444378
2019-01-12	-0.394927851815
2019-01-13	-2.86588079734
2019-01-14	-2.69311909667
2019-01-15	-4.98429049125
2019-01-16	-5.17991340813
2019-01-17	-5.11080721897
2019-01-18	-4.95345893031
2019-01-19	-5.0235821652
2019-01-20	
2019-01-21	
2019-01-22	-2.63240234762
2019-01-23	-2.29979733608
2019-01-24	-1.8092248827
2019-01-25	-1.63615445263
2019-01-26	-2.76312272109
2019-01-27	-2.94691577805
2019-01-28	-2.85034693109
2019-01-29	-4.09572187528
2019-01-30	-4.4227111526
2019-01-31	-4.65955537341
2019-02-01	-4.64561447291
2019-02-02	
2019-02-03	
2019-02-04	
2019-02-05	
2019-02-06	
2019-02-07	
2019-02-08	
2019-02-09	
2019-02-10	-3.9667069118
2019-02-11	-3.95135423933
2019-02-12	-3.93911951038
2019-02-13	-4.24134801843
2019-02-14	-4.43942770396
2019-02-15	-4.62621937694
2019-02-16	-4.80949729434
2019-02-17	
2019-02-18	-1.56275626149
2019-02-19	-1.48520507282
2019-02-20	-1.25668392198
2019-02-21	-1.31307418317
2019-02-22	-1.09173099773
2019-02-23	-0.96191998442
2019-02-24	-1.06354154419
2019-02-25	-0.986252585123
2019-02-26	-0.954954783141
2019-02-27	-0.849271658202
2019-02-28	-0.384639777545
2019-03-01	-0.519271873763
2019-03-02	-0.771537644365
2019-03-03	-1.8559800999
2019-03-04	-1.57553249865
2019-03-05	-1.55593262619
2019-03-06	-1.65237617726
2019-03-07	-3.79489195174
2019-03-08	-3.69521441897
2019-03-09	-3.09085540584
2019-03-10	
2019-03-11	
2019-03-12	
2019-03-13	
2019-03-14	
2019-03-15	
2019-03-16	
2019-03-17	
2019-03-18	
2019-03-19	
2019-03-20	
2019-03-21	
2019-03-22	
2019-03-23	
2019-03-24	
2019-03-25	
2019-03-26	
2019-03-27	
2019-03-28	
2019-03-29	
2019-03-30	
2019-03-31	
2019-04-01	
2019-04-02	
2019-04-03	
2019-04-04	-0.363700081483
2019-04-05	-0.267695302057
2019-04-06	0.318958778093
2019-04-07	0.205256541626
2019-04-08	0.371012158782
2019-04-09	0.506714023792
2019-04-10	0.877048268321
2019-04-11	
2019-04-12	-1.28037979872
2019-04-13	-1.53971083795
2019-04-14	-1.15409541733
2019-04-15	-1.0840824172
2019-04-16	-1.0748057197
2019-04-17	-1.33605042478
2019-04-18	-1.18082217619
2019-04-19	
2019-04-20	
2019-04-21	
2019-04-22	
2019-04-23	
2019-04-24	
2019-04-25	
2019-04-26	
2019-04-27	-3.68895571331
2019-04-28	-3.68895571331
2019-04-29	-3.53848090499
2019-04-30	-3.19057994008
2019-05-01	-3.18747104157
2019-05-02	-3.43182495873
2019-05-03	-3.50668059371
2019-05-04	-3.16192853527
2019-05-05	-2.25991486587
2019-05-06	-1.70535161966
2019-05-07	-0.984689221967
2019-05-08	0.526299684091
2019-05-09	0.475671690208
2019-05-10	0.787989083932
2019-05-11	0.0417427014065
2019-05-12	-0.686462916836
2019-05-13	-0.488338989713
2019-05-14	-0.617199528564
2019-05-15	-2.65438515175
2019-05-16	-3.00917880378
2019-05-17	-3.25342295106
2019-05-18	
2019-05-19	
2019-05-20	
2019-05-21	-2.7387999503
2019-05-22	-3.02491558041
2019-05-23	-2.7165174194
2019-05-24	-2.70263166505
2019-05-25	-2.33635959865
2019-05-26	-2.51116590544
