Date	GBP
2017-12-22	
2017-12-23	
2017-12-24	
2017-12-25	
2017-12-26	
2017-12-27	
2017-12-28	
2017-12-29	
2017-12-30	
2017-12-31	
2018-01-01	
2018-01-02	
2018-01-03	
2018-01-04	-1.6710950914
2018-01-05	-1.93016797105
2018-01-06	-1.89306354731
2018-01-07	-2.00772752694
2018-01-08	-1.84436143381
2018-01-09	-1.71258391668
2018-01-10	-0.838987240744
2018-01-11	-0.432393853815
2018-01-12	0.710659237908
2018-01-13	0.671830765236
2018-01-14	0.761656969781
2018-01-15	0.660648221753
2018-01-16	-0.631089126022
2018-01-17	-1.846123802
2018-01-18	-1.88029350839
2018-01-19	-1.83880237818
2018-01-20	-1.75630049113
2018-01-21	-1.66420214216
2018-01-22	-1.56722996691
2018-01-23	-1.42576276127
2018-01-24	
2018-01-25	-3.20215205711
2018-01-26	-3.31216491972
2018-01-27	-3.5445072076
2018-01-28	-3.68238196184
2018-01-29	-3.82338313561
2018-01-30	-3.78114816408
2018-01-31	-3.8396993219
2018-02-01	
2018-02-02	
2018-02-03	
2018-02-04	
2018-02-05	0.999953658102
2018-02-06	1.03638012608
2018-02-07	1.04503775867
2018-02-08	1.25595619067
2018-02-09	1.47399723171
2018-02-10	1.30905167499
2018-02-11	-0.219134365449
2018-02-12	-1.60108684957
2018-02-13	-1.67653898866
2018-02-14	-1.73703216986
2018-02-15	-1.86952638642
2018-02-16	-2.02579229481
2018-02-17	-1.91951863182
2018-02-18	
2018-02-19	
2018-02-20	
2018-02-21	
2018-02-22	
2018-02-23	
2018-02-24	
2018-02-25	
2018-02-26	
2018-02-27	
2018-02-28	
2018-03-01	
2018-03-02	
2018-03-03	
2018-03-04	
2018-03-05	
2018-03-06	
2018-03-07	-2.00057647335
2018-03-08	0.0191189525508
2018-03-09	-0.0211281757209
2018-03-10	-0.267473808302
2018-03-11	-0.511522482004
2018-03-12	-0.505757729907
2018-03-13	-0.522116564794
2018-03-14	0.770299091608
2018-03-15	0.0262679952508
2018-03-16	
2018-03-17	
2018-03-18	
2018-03-19	
2018-03-20	
2018-03-21	-2.12807033504
2018-03-22	-2.17745395176
2018-03-23	-0.517254149481
2018-03-24	-0.597082504122
2018-03-25	-1.44106139643
2018-03-26	-1.52979252783
2018-03-27	-1.56111946956
2018-03-28	-1.2464635361
2018-03-29	-1.33580926423
2018-03-30	-3.53464229183
2018-03-31	-1.41129588395
2018-04-01	0.471564842473
2018-04-02	-0.769359540461
2018-04-03	-0.77388593891
2018-04-04	0.0871244380518
2018-04-05	-0.0217356972311
2018-04-06	0.11613942929
2018-04-07	-0.0167600880713
2018-04-08	0.226529161046
2018-04-09	0.973449874264
2018-04-10	0.992422140302
2018-04-11	-0.155386634282
2018-04-12	
2018-04-13	
2018-04-14	
2018-04-15	
2018-04-16	
2018-04-17	
2018-04-18	
2018-04-19	
2018-04-20	
2018-04-21	
2018-04-22	
2018-04-23	
2018-04-24	
2018-04-25	
2018-04-26	
2018-04-27	
2018-04-28	
2018-04-29	
2018-04-30	
2018-05-01	
2018-05-02	
2018-05-03	-2.75371767591
2018-05-04	-1.26655082445
2018-05-05	-1.35079321702
2018-05-06	-1.34511011098
2018-05-07	-1.32863524341
2018-05-08	-1.32558069235
2018-05-09	-0.721440075917
2018-05-10	0.272976876304
2018-05-11	0.281770330836
2018-05-12	0.419630090444
2018-05-13	0.424174262531
2018-05-14	0.455663844253
2018-05-15	0.44654297366
2018-05-16	
2018-05-17	
2018-05-18	
2018-05-19	
2018-05-20	
2018-05-21	
2018-05-22	
2018-05-23	
2018-05-24	
2018-05-25	
2018-05-26	
2018-05-27	
2018-05-28	
2018-05-29	
2018-05-30	
2018-05-31	-1.91432986403
2018-06-01	-2.02517894868
2018-06-02	-1.86070191379
2018-06-03	-1.890928543
2018-06-04	-1.94869941137
2018-06-05	-1.9269913144
2018-06-06	-1.95780298377
2018-06-07	
2018-06-08	0.806531003152
2018-06-09	0.645585572083
2018-06-10	0.714339968967
2018-06-11	1.1151931175
2018-06-12	1.25097654163
2018-06-13	0.518174421288
2018-06-14	0.560511708569
2018-06-15	0.330197281242
2018-06-16	0.4117965383
2018-06-17	0.471902950821
2018-06-18	-0.793723783722
2018-06-19	-0.879461841852
2018-06-20	
2018-06-21	
2018-06-22	
2018-06-23	
2018-06-24	
2018-06-25	2.19912369553
2018-06-26	2.19480476113
2018-06-27	2.27120787588
2018-06-28	2.22954781803
2018-06-29	2.13300421027
2018-06-30	1.9977039185
2018-07-01	2.00478085142
2018-07-02	
2018-07-03	
2018-07-04	
2018-07-05	-1.88456162897
