Date	Materials
2019-03-08	
2019-03-09	
2019-03-10	
2019-03-11	
2019-03-12	
2019-03-13	
2019-03-14	
2019-03-15	
2019-03-16	
2019-03-17	
2019-03-18	0.127881472948
2019-03-19	0.134918755361
2019-03-20	0.117520862323
2019-03-21	0.126963654479
2019-03-22	0.123907061426
2019-03-23	0.116418547141
2019-03-24	0.124812491018
2019-03-25	
2019-03-26	
2019-03-27	-0.771632987446
2019-03-28	-0.764295786595
2019-03-29	-0.74184222546
2019-03-30	-0.713489307711
2019-03-31	-0.701913978041
2019-04-01	-0.703095522886
2019-04-02	-0.700227421615
2019-04-03	
2019-04-04	
2019-04-05	
2019-04-06	
2019-04-07	
2019-04-08	
2019-04-09	
2019-04-10	
2019-04-11	
2019-04-12	
2019-04-13	
2019-04-14	
2019-04-15	
2019-04-16	
2019-04-17	
2019-04-18	
2019-04-19	
2019-04-20	
2019-04-21	
2019-04-22	-0.285450937254
2019-04-23	-0.0750670341369
2019-04-24	-0.0178174230603
2019-04-25	-0.0129407604785
2019-04-26	-0.00442052138076
2019-04-27	0.001404240524
2019-04-28	0.0128018992542
2019-04-29	0.248333782454
2019-04-30	
2019-05-01	0.142319500042
2019-05-02	-0.0218539978871
2019-05-03	-0.027202727047
2019-05-04	-0.0411901318089
2019-05-05	-0.0139292191105
2019-05-06	-0.00591139589618
2019-05-07	0.00274287196096
2019-05-08	-0.25307470614
2019-05-09	-0.351637158299
2019-05-10	-0.543316689665
2019-05-11	-0.535462808713
2019-05-12	-0.608830311094
2019-05-13	-0.615063994427
2019-05-14	-0.621455967641
2019-05-15	-0.552294789022
2019-05-16	-0.556374123716
2019-05-17	-0.403252704668
2019-05-18	-0.387819133239
2019-05-19	-0.153036738001
2019-05-20	-0.177540440382
2019-05-21	-0.191836412746
2019-05-22	
2019-05-23	
2019-05-24	
2019-05-25	
2019-05-26	
2019-05-27	
2019-05-28	
2019-05-29	
2019-05-30	
2019-05-31	
2019-06-01	
2019-06-02	
2019-06-03	
2019-06-04	
2019-06-05	
2019-06-06	
2019-06-07	
2019-06-08	
2019-06-09	
2019-06-10	
2019-06-11	
2019-06-12	
2019-06-13	-0.326852084927
2019-06-14	-0.323170422982
2019-06-15	-0.319155387267
2019-06-16	-0.368702053934
2019-06-17	-0.367954311077
2019-06-18	-0.532222489545
2019-06-19	-0.357820337884
2019-06-20	-0.249484692986
2019-06-21	-0.325093972356
2019-06-22	-0.296271972356
2019-06-23	-0.261343543785
2019-06-24	-0.301684222356
2019-06-25	-0.191806519635
2019-06-26	-0.2156441829
2019-06-27	-0.315371864646
2019-06-28	-0.233596142857
2019-06-29	-0.22388575
2019-06-30	-0.22878727381
2019-07-01	-0.261297992231
2019-07-02	-0.278999186108
2019-07-03	-0.535459568761
2019-07-04	-0.511128293251
2019-07-05	-0.491917871822
2019-07-06	-0.520193217061
2019-07-07	-0.489648693251
2019-07-08	-0.546818816893
2019-07-09	-0.687474901927
2019-07-10	-0.62620268424
2019-07-11	-0.651790260307
2019-07-12	-0.683388528164
2019-07-13	-0.699267932926
2019-07-14	-0.728537028164
2019-07-15	-0.847753095214
2019-07-16	
2019-07-17	
2019-07-18	
2019-07-19	
2019-07-20	
2019-07-21	
2019-07-22	-0.33560057904
2019-07-23	-0.380173557498
2019-07-24	-0.423114421784
2019-07-25	-0.390995473323
2019-07-26	-0.394733273411
2019-07-27	-0.38931684484
2019-07-28	-0.450532701982
2019-07-29	
2019-07-30	-0.258020032975
2019-07-31	-0.26656066988
2019-08-01	-0.0688867144292
2019-08-02	-0.0656021635889
2019-08-03	-0.0523599731127
2019-08-04	-0.0397010048587
2019-08-05	-0.0346413268049
2019-08-06	0.0205759531179
2019-08-07	0.0533581035695
2019-08-08	-0.135769437247
2019-08-09	-0.189072112811
2019-08-10	-0.227251731858
2019-08-11	-0.206000914398
2019-08-12	-0.112115715985
2019-08-13	-0.0177872136812
2019-08-14	-0.00350476873381
2019-08-15	0.0301840288852
2019-08-16	0.081504191592
2019-08-17	0.118821563021
2019-08-18	0.165821063021
2019-08-19	0.11889309556
2019-08-20	
2019-08-21	
2019-08-22	
2019-08-23	
2019-08-24	
2019-08-25	
2019-08-26	-0.10766775737
2019-08-27	-0.0761624801555
2019-08-28	-0.0690581764232
2019-08-29	-0.121383304995
2019-08-30	-0.0965020179198
2019-08-31	-0.0799485655388
2019-09-01	-0.115053375063
2019-09-02	
2019-09-03	
2019-09-04	
2019-09-05	
2019-09-06	
2019-09-07	
2019-09-08	
2019-09-09	
2019-09-10	-0.552515217495
2019-09-11	-0.592587327579
2019-09-12	-0.603454256151
2019-09-13	-0.601690513095
2019-09-14	-0.648944189286
2019-09-15	-0.638474840079
2019-09-16	-0.616195771498
2019-09-17	-0.590078059654
2019-09-18	-0.579377023599
2019-09-19	-0.532516478957
2019-09-20	-0.546426270776
2019-09-21	-0.541482285062
2019-09-22	-0.463958386252
2019-09-23	-0.392191523286
2019-09-24	-0.500999967556
2019-09-25	-0.501178849642
2019-09-26	-0.543447658836
2019-09-27	-0.560668648762
2019-09-28	-0.563709220191
2019-09-29	-0.68274376866
2019-09-30	-0.698932570446
2019-10-01	
2019-10-02	
2019-10-03	
2019-10-04	
2019-10-05	
2019-10-06	
2019-10-07	
2019-10-08	
2019-10-09	
