Date	Health Care
2017-12-06	-0.189730235757
2017-12-07	-0.188251587041
2017-12-08	-0.217451569709
2017-12-09	-0.208567317217
2017-12-10	-0.206153573114
2017-12-11	-0.151344975394
2017-12-12	-0.15135895607
2017-12-13	-0.151089087948
2017-12-14	-0.150237808265
2017-12-15	-0.151254494147
2017-12-16	-0.148205804535
2017-12-17	-0.145443727662
2017-12-18	-0.149442120694
2017-12-19	-0.155054986611
2017-12-20	-0.156345211758
2017-12-21	-0.114161234894
2017-12-22	-0.155776082529
2017-12-23	-0.152915200922
2017-12-24	-0.151723027988
2017-12-25	-0.155572655491
2017-12-26	-0.155320962146
2017-12-27	-0.159018313692
2017-12-28	-0.156868796739
2017-12-29	-0.186345169544
2017-12-30	-0.182515742194
2017-12-31	-0.182631845143
2018-01-01	-0.180472725657
2018-01-02	-0.179849517154
2018-01-03	-0.138391773806
2018-01-04	-0.138213781909
2018-01-05	-0.137322299645
2018-01-06	-0.134802333332
2018-01-07	-0.0910213109146
2018-01-08	-0.0968741132252
2018-01-09	-0.0995383069898
2018-01-10	-0.1555008906
2018-01-11	-0.155052127856
2018-01-12	-0.156688615925
2018-01-13	-0.154100226911
2018-01-14	-0.148967173217
2018-01-15	-0.152620214304
2018-01-16	-0.153251924058
2018-01-17	-0.154482986045
2018-01-18	-0.253148188482
2018-01-19	-0.15533710079
2018-01-20	-0.176364131386
2018-01-21	-0.113527404003
2018-01-22	-0.151276312424
2018-01-23	-0.163861357958
2018-01-24	-0.155090134405
2018-01-25	-0.153915373226
2018-01-26	-0.130704499055
2018-01-27	-0.13027492874
2018-01-28	-0.122365858892
2018-01-29	-0.125274964269
2018-01-30	-0.15860932148
2018-01-31	-0.159122242747
2018-02-01	-0.152690964362
2018-02-02	-0.150998564341
2018-02-03	-0.142012400862
2018-02-04	-0.141835665845
2018-02-05	-0.14120207742
2018-02-06	-0.13866692761
2018-02-07	-0.144320017157
2018-02-08	-0.161159780172
2018-02-09	-0.156403282282
2018-02-10	-0.158043758301
2018-02-11	-0.153765128255
2018-02-12	-0.156341704675
2018-02-13	-0.155656060293
2018-02-14	-0.151421032842
2018-02-15	-0.149613285897
2018-02-16	-0.145221578517
2018-02-17	-0.115680396482
2018-02-18	-0.142359212607
2018-02-19	-0.164027126584
2018-02-20	-0.164578569555
2018-02-21	-0.156987716228
2018-02-22	-0.155533694763
2018-02-23	-0.169312591063
2018-02-24	-0.169997866885
2018-02-25	-0.206880809018
2018-02-26	-0.208023054829
2018-02-27	-0.210646008454
2018-02-28	-0.2086427707
2018-03-01	-0.172701413516
2018-03-02	-0.167318337507
2018-03-03	-0.199280873728
2018-03-04	-0.196690536189
2018-03-05	-0.249239256503
2018-03-06	-0.248816452392
2018-03-07	-0.249539738915
2018-03-08	-0.247691983308
2018-03-09	-0.318303632117
2018-03-10	
2018-03-11	
2018-03-12	
2018-03-13	
2018-03-14	
2018-03-15	
2018-03-16	
2018-03-17	
2018-03-18	
2018-03-19	
2018-03-20	
2018-03-21	
2018-03-22	
2018-03-23	-0.545049718186
2018-03-24	-0.540634827345
2018-03-25	-0.5422819038
2018-03-26	-0.186169432999
2018-03-27	-0.18459342356
2018-03-28	-0.181421301325
2018-03-29	-0.181548408609
2018-03-30	-0.179794165746
2018-03-31	-0.179160092691
2018-04-01	-0.18197483604
2018-04-02	-0.185536805902
2018-04-03	-0.187884236479
2018-04-04	-0.186897262374
2018-04-05	-0.184142398394
2018-04-06	-0.180314956629
2018-04-07	-0.180106720922
2018-04-08	-0.177068140371
2018-04-09	-0.175258965659
2018-04-10	-0.17520382157
2018-04-11	-0.172831031522
2018-04-12	-0.173358248831
2018-04-13	-0.171149814105
2018-04-14	-0.168276536452
2018-04-15	-0.166596932352
2018-04-16	-0.167309808495
2018-04-17	-0.165374083923
2018-04-18	-0.166377014536
2018-04-19	-0.166322810289
2018-04-20	-0.165086321671
2018-04-21	-0.166287749922
2018-04-22	0.182373723419
2018-04-23	0.178528000383
2018-04-24	0.181777730681
2018-04-25	
2018-04-26	
2018-04-27	
2018-04-28	
2018-04-29	
2018-04-30	
2018-05-01	
2018-05-02	
2018-05-03	
2018-05-04	
2018-05-05	
2018-05-06	
2018-05-07	
2018-05-08	
2018-05-09	
2018-05-10	
2018-05-11	
2018-05-12	
2018-05-13	
2018-05-14	
2018-05-15	
2018-05-16	
2018-05-17	
2018-05-18	
2018-05-19	
2018-05-20	
2018-05-21	
2018-05-22	
2018-05-23	
2018-05-24	
2018-05-25	
2018-05-26	
2018-05-27	
2018-05-28	
2018-05-29	
2018-05-30	
2018-05-31	
2018-06-01	
2018-06-02	
2018-06-03	
2018-06-04	
2018-06-05	
2018-06-06	
2018-06-07	
2018-06-08	
2018-06-09	
2018-06-10	
2018-06-11	
2018-06-12	
2018-06-13	
2018-06-14	
2018-06-15	
2018-06-16	
2018-06-17	
2018-06-18	
2018-06-19	
2018-06-20	
2018-06-21	
2018-06-22	
2018-06-23	
2018-06-24	
2018-06-25	
2018-06-26	
2018-06-27	
2018-06-28	
2018-06-29	
2018-06-30	
2018-07-01	
2018-07-02	
2018-07-03	
2018-07-04	
2018-07-05	
2018-07-06	
2018-07-07	
2018-07-08	
2018-07-09	
2018-07-10	
2018-07-11	
2018-07-12	
2018-07-13	
2018-07-14	
2018-07-15	
2018-07-16	
2018-07-17	
2018-07-18	
2018-07-19	
2018-07-20	
2018-07-21	
2018-07-22	
2018-07-23	
2018-07-24	
2018-07-25	-0.408160838546
2018-07-26	-0.406057203464
2018-07-27	-0.407121136476
2018-07-28	-0.414791238621
2018-07-29	-0.420303759122
2018-07-30	-0.448833544919
2018-07-31	-0.444861520871
2018-08-01	-0.445229565649
2018-08-02	-0.191720967152
2018-08-03	-0.185113167443
2018-08-04	-0.182722701517
2018-08-05	-0.176027991029
2018-08-06	-0.174064888692
2018-08-07	-0.172115233985
2018-08-08	-0.170154142523
2018-08-09	-0.166155398229
2018-08-10	-0.162921520924
2018-08-11	-0.169681108109
2018-08-12	-0.173720928627
2018-08-13	-0.170608515499
2018-08-14	-0.169584219574
2018-08-15	-0.168435525062
2018-08-16	-0.169150400038
2018-08-17	-0.170437986634
2018-08-18	-0.172561796265
2018-08-19	-0.179802541283
2018-08-20	-0.180588254134
2018-08-21	-0.17953083055
2018-08-22	-0.177730073953
2018-08-23	-0.183392223926
2018-08-24	-0.0745834104883
2018-08-25	-0.0843600806256
2018-08-26	-0.0936252262081
2018-08-27	-0.0850377774015
2018-08-28	-0.0824573473371
2018-08-29	0.308708852781
2018-08-30	0.306530296525
2018-08-31	0.305654698574
2018-09-01	
2018-09-02	
2018-09-03	
2018-09-04	
2018-09-05	
2018-09-06	
2018-09-07	
2018-09-08	
2018-09-09	
2018-09-10	
2018-09-11	
2018-09-12	
2018-09-13	
2018-09-14	
2018-09-15	
2018-09-16	
2018-09-17	
2018-09-18	
2018-09-19	
2018-09-20	
2018-09-21	
2018-09-22	
2018-09-23	
2018-09-24	
2018-09-25	
2018-09-26	
2018-09-27	
2018-09-28	
2018-09-29	
2018-09-30	
2018-10-01	
2018-10-02	
2018-10-03	
2018-10-04	
2018-10-05	
2018-10-06	
2018-10-07	
2018-10-08	
2018-10-09	
2018-10-10	
2018-10-11	
2018-10-12	
2018-10-13	
2018-10-14	
2018-10-15	
2018-10-16	
2018-10-17	
2018-10-18	
2018-10-19	
2018-10-20	
2018-10-21	
2018-10-22	
2018-10-23	
2018-10-24	
2018-10-25	
2018-10-26	
2018-10-27	
2018-10-28	
2018-10-29	
2018-10-30	
2018-10-31	
2018-11-01	
2018-11-02	
2018-11-03	
2018-11-04	
2018-11-05	
2018-11-06	
2018-11-07	0.0958553748348
2018-11-08	0.096243815345
2018-11-09	0.0990150948417
2018-11-10	0.0927959306566
2018-11-11	0.0875172622255
2018-11-12	0.0919672809598
2018-11-13	0.0951982089068
2018-11-14	0.0935692305524
2018-11-15	0.0889686153643
2018-11-16	0.0877652046481
2018-11-17	0.0823285818555
2018-11-18	0.0738416168386
2018-11-19	0.0720343715042
2018-11-20	0.0710775151998
