Date	Consumer Staples
2018-12-02	-0.190914794185
2018-12-03	-0.350149548724
2018-12-04	-0.347313121219
2018-12-05	-0.348489659353
2018-12-06	-0.34678756867
2018-12-07	-0.410270179071
2018-12-08	-0.408886731688
2018-12-09	-0.408926696184
2018-12-10	-0.403950280664
2018-12-11	-0.397008266564
2018-12-12	-0.401182570513
2018-12-13	-0.401049073942
2018-12-14	-0.431903769658
2018-12-15	-0.431558377727
2018-12-16	-0.435689513404
2018-12-17	-0.430885255494
2018-12-18	-0.426336931376
2018-12-19	-0.395619562201
2018-12-20	-0.395613550808
2018-12-21	-0.392104209047
2018-12-22	-0.393389107122
2018-12-23	-0.394370254159
2018-12-24	-0.391879028313
2018-12-25	-0.392123967778
2018-12-26	-0.334380544925
2018-12-27	-0.371071909587
2018-12-28	-0.369504472934
2018-12-29	-0.386962281121
2018-12-30	-0.388033101568
2018-12-31	-0.377573513817
2019-01-01	-0.381532992214
2019-01-02	-0.357978296674
2019-01-03	-0.354748936774
2019-01-04	-0.35356707859
2019-01-05	-0.357926646717
2019-01-06	-0.323667961502
2019-01-07	-0.251858255695
2019-01-08	-0.251731234944
2019-01-09	-0.249817849824
2019-01-10	-0.24788705152
2019-01-11	-0.249747814736
2019-01-12	-0.257028914121
2019-01-13	-0.195132726848
2019-01-14	-0.221313567134
2019-01-15	-0.222064330097
2019-01-16	-0.225407626994
2019-01-17	-0.228457273981
2019-01-18	-0.213730917936
2019-01-19	-0.21891053979
2019-01-20	-0.223835243638
2019-01-21	-0.221209817591
2019-01-22	-0.309950566167
2019-01-23	-0.304963218346
2019-01-24	-0.290019243158
2019-01-25	-0.33813717668
2019-01-26	-0.340582788107
2019-01-27	-0.34351432994
2019-01-28	-0.313569234409
2019-01-29	-0.312096857921
2019-01-30	-0.317306660338
2019-01-31	-0.311855170122
2019-02-01	-0.312161075449
2019-02-02	-0.312633816918
2019-02-03	-0.314148989498
2019-02-04	-0.308551424128
2019-02-05	-0.304654714002
2019-02-06	-0.41311922092
2019-02-07	-0.414364990928
2019-02-08	-0.416071112606
2019-02-09	-0.420275421466
2019-02-10	-0.420430490112
2019-02-11	-0.416442262907
2019-02-12	-0.413546166742
2019-02-13	-0.460007314361
2019-02-14	-0.454667130778
2019-02-15	-0.454085444501
2019-02-16	-0.452892168226
2019-02-17	-0.455557297856
2019-02-18	-0.459536890793
2019-02-19	-0.457298311401
2019-02-20	-0.453988213441
2019-02-21	-0.259994720614
2019-02-22	-0.260143018463
2019-02-23	
2019-02-24	
2019-02-25	
2019-02-26	
2019-02-27	
2019-02-28	
2019-03-01	-0.462376755287
2019-03-02	-0.459707870018
2019-03-03	-0.405161964187
2019-03-04	-0.403324973685
2019-03-05	-0.399706835824
2019-03-06	-0.399296259559
2019-03-07	-0.395381435794
2019-03-08	-0.391639460112
2019-03-09	-0.390908290062
2019-03-10	-0.39228455895
2019-03-11	-0.387983797587
2019-03-12	-0.384804611373
2019-03-13	-0.385159244466
2019-03-14	-0.388201592439
2019-03-15	-0.385777075745
2019-03-16	-0.387862332475
2019-03-17	-0.389719967457
2019-03-18	-0.387794900676
2019-03-19	-0.38093921653
2019-03-20	-0.374652983859
2019-03-21	-0.371415208358
2019-03-22	-0.371999928826
2019-03-23	-0.375143717857
2019-03-24	-0.379574189602
2019-03-25	-0.37471462376
2019-03-26	-0.371343430985
2019-03-27	-0.373449734053
2019-03-28	-0.375806943244
2019-03-29	-0.374346247814
2019-03-30	-0.373379519296
2019-03-31	-0.352151152334
2019-04-01	-0.350781251276
2019-04-02	-0.370243527611
2019-04-03	-0.368991900119
2019-04-04	-0.368226031099
2019-04-05	-0.370386977854
2019-04-06	-0.376248634136
2019-04-07	-0.382636977318
2019-04-08	-0.378622158446
2019-04-09	-0.37729609178
2019-04-10	-0.378146111927
2019-04-11	-0.37815946744
2019-04-12	-0.377835959441
2019-04-13	
2019-04-14	
2019-04-15	
2019-04-16	
2019-04-17	
2019-04-18	
2019-04-19	
2019-04-20	
2019-04-21	
2019-04-22	0.000587473499157
2019-04-23	0.00565279415436
2019-04-24	0.00344345113024
2019-04-25	0.00489842959864
2019-04-26	0.00310848110983
2019-04-27	0.00589242035983
2019-04-28	0.00336800845507
2019-04-29	-0.000537596932133
2019-04-30	0.000549356156987
2019-05-01	-0.00186045377567
2019-05-02	-0.00669712593364
2019-05-03	-0.00804483961618
2019-05-04	-0.0107377014563
2019-05-05	-0.010118664855
2019-05-06	-0.167413551522
2019-05-07	-0.204252415355
2019-05-08	-0.205661915671
2019-05-09	-0.208880280523
2019-05-10	-0.206255056217
2019-05-11	-0.20673758239
2019-05-12	-0.204205084617
2019-05-13	-0.199987931006
2019-05-14	-0.20013605395
2019-05-15	-0.201220974991
2019-05-16	-0.169384180633
2019-05-17	-0.171802711953
2019-05-18	-0.171093748881
2019-05-19	-0.160454009332
2019-05-20	-0.157783976175
2019-05-21	-0.161194567842
2019-05-22	-0.22223726572
2019-05-23	-0.22665481022
2019-05-24	-0.228585986887
2019-05-25	-0.237018997179
2019-05-26	-0.23746182488
2019-05-27	-0.242903354464
2019-05-28	-0.242935663614
2019-05-29	-0.239438364372
2019-05-30	-0.233928033075
2019-05-31	-0.228327347414
2019-06-01	-0.228311627316
2019-06-02	-0.231310221294
2019-06-03	-0.23428695321
2019-06-04	-0.235145222655
2019-06-05	-0.188542341537
2019-06-06	-0.0979880445243
2019-06-07	-0.0997890263701
2019-06-08	-0.0999920302044
2019-06-09	-0.0982154188754
2019-06-10	-0.100653262123
2019-06-11	-0.105402113694
2019-06-12	-0.11147736706
2019-06-13	-0.111735938402
2019-06-14	-0.112333215869
2019-06-15	
2019-06-16	
2019-06-17	0.132741645323
2019-06-18	0.127864757139
2019-06-19	0.123610330155
2019-06-20	0.122727002085
2019-06-21	0.128261627134
2019-06-22	0.245945310725
2019-06-23	0.247323483577
2019-06-24	0.252230106266
2019-06-25	0.253414844704
2019-06-26	0.260227782002
2019-06-27	0.26216385385
2019-06-28	0.125927337082
2019-06-29	0.124460152088
2019-06-30	0.119029869458
2019-07-01	0.113296436125
2019-07-02	0.111865545455
2019-07-03	0.116119458526
2019-07-04	0.118467021303
2019-07-05	0.115730692108
2019-07-06	0.118469601985
2019-07-07	0.118504738626
2019-07-08	0.123007743291
2019-07-09	0.117609265646
2019-07-10	0.12096643756
