Date	CHF
2017-12-06	-0.468948945131
2017-12-07	-0.207474351762
2017-12-08	0.0403440928758
2017-12-09	-0.0914046427026
2017-12-10	-0.136286224602
2017-12-11	-0.2746350497
2017-12-12	
2017-12-13	-1.79960442916
2017-12-14	-2.17135705869
2017-12-15	-2.42492150019
2017-12-16	-3.42894267429
2017-12-17	-3.46184850447
2017-12-18	-3.55001957834
2017-12-19	-3.48989457929
2017-12-20	-3.93274298448
2017-12-21	
2017-12-22	
2017-12-23	
2017-12-24	
2017-12-25	
2017-12-26	
2017-12-27	
2017-12-28	
2017-12-29	-1.41978311191
2017-12-30	-2.0305974621
2017-12-31	-2.05256095412
2018-01-01	-2.15309027208
2018-01-02	-1.720673773
2018-01-03	-1.9230933961
2018-01-04	-1.0504130335
2018-01-05	-0.502018358128
2018-01-06	-0.201420823729
2018-01-07	0.0662887156774
2018-01-08	-0.00122536902547
2018-01-09	0.313209196318
2018-01-10	1.62468597085
2018-01-11	0.475818991335
2018-01-12	0.343679097534
2018-01-13	0.328414394625
2018-01-14	0.314574147722
2018-01-15	0.31055083984
2018-01-16	-2.44848640788
2018-01-17	-2.48253969129
2018-01-18	-2.53878713354
2018-01-19	-2.3269643016
2018-01-20	-2.2861404872
2018-01-21	-2.28054658444
2018-01-22	-2.32228640873
2018-01-23	
2018-01-24	
2018-01-25	
2018-01-26	
2018-01-27	
2018-01-28	
2018-01-29	
2018-01-30	
2018-01-31	
2018-02-01	
2018-02-02	
2018-02-03	
2018-02-04	
2018-02-05	-4.46268597099
2018-02-06	-3.12037061258
2018-02-07	-2.83036277337
2018-02-08	-2.48662903364
2018-02-09	-2.12941751125
2018-02-10	-2.2098104572
2018-02-11	-2.06972281218
2018-02-12	-1.3303233904
2018-02-13	
2018-02-14	
2018-02-15	
2018-02-16	
2018-02-17	
2018-02-18	
2018-02-19	
2018-02-20	
2018-02-21	
2018-02-22	
2018-02-23	
2018-02-24	
2018-02-25	
2018-02-26	
2018-02-27	
2018-02-28	
2018-03-01	
2018-03-02	
2018-03-03	
2018-03-04	
2018-03-05	
2018-03-06	-0.588170447634
2018-03-07	-0.599799245816
2018-03-08	0.265139582155
2018-03-09	0.30757955638
2018-03-10	-0.0839277293615
2018-03-11	0.0547123144137
2018-03-12	-0.00058117190115
2018-03-13	-0.462528362774
2018-03-14	-0.459248537862
2018-03-15	-1.1457624083
2018-03-16	-1.63033037148
2018-03-17	-2.24801794185
2018-03-18	-2.26022764961
2018-03-19	-3.4009381796
2018-03-20	-2.20282678377
2018-03-21	-3.72527104894
2018-03-22	-4.52375388199
2018-03-23	-3.44457138715
2018-03-24	-3.11130132886
2018-03-25	-2.89055667354
2018-03-26	-2.96646738126
2018-03-27	-3.0643783917
2018-03-28	-1.31940038982
2018-03-29	-0.937756800642
2018-03-30	-1.09394785588
2018-03-31	-0.661088162567
2018-04-01	-0.432893791399
2018-04-02	-0.122647804789
2018-04-03	-0.141806877897
2018-04-04	-1.70014574847
2018-04-05	
2018-04-06	
2018-04-07	
2018-04-08	
2018-04-09	
2018-04-10	
2018-04-11	-0.76395374687
2018-04-12	-0.887935093819
2018-04-13	-1.02830094875
2018-04-14	-1.07846640816
2018-04-15	-1.2278811494
2018-04-16	-0.351995524427
2018-04-17	-0.961024225793
2018-04-18	-1.31865961298
2018-04-19	-1.08851517512
2018-04-20	-1.10145932061
2018-04-21	-1.07560106587
2018-04-22	-1.36575417174
2018-04-23	-1.75567310626
2018-04-24	-1.47398119427
2018-04-25	-1.42395391989
2018-04-26	-2.32303317347
2018-04-27	-2.3898913069
2018-04-28	-2.57217467174
2018-04-29	-2.81220497236
2018-04-30	
2018-05-01	
2018-05-02	
2018-05-03	-4.45707008995
2018-05-04	-4.54408196996
2018-05-05	-4.48826292081
2018-05-06	-4.36012537253
2018-05-07	-4.49014486463
2018-05-08	-4.60696782696
2018-05-09	-4.30886370686
2018-05-10	
2018-05-11	
2018-05-12	
2018-05-13	-5.47077938518
2018-05-14	-3.67294355427
2018-05-15	-2.92388911516
2018-05-16	-2.67960721522
2018-05-17	-2.74255171913
2018-05-18	-2.57412900652
2018-05-19	-1.37633121023
2018-05-20	-1.36470288333
2018-05-21	-1.48099140085
2018-05-22	-1.7687257382
2018-05-23	-1.91148740719
2018-05-24	-1.64054101609
2018-05-25	-1.72910977476
2018-05-26	-2.65776615191
2018-05-27	-2.15359189441
2018-05-28	-2.05517859483
2018-05-29	-2.09063480644
2018-05-30	-1.97267809324
2018-05-31	-1.64129371381
2018-06-01	-1.7429523679
2018-06-02	-1.11372586254
2018-06-03	-1.38212569536
2018-06-04	-1.82931517806
2018-06-05	-1.68989305557
2018-06-06	-2.37393576364
2018-06-07	-2.83323512008
2018-06-08	-1.76716424283
2018-06-09	-1.49578013436
2018-06-10	-1.40614358994
2018-06-11	-0.97742603172
2018-06-12	-0.799629670042
2018-06-13	-0.899493194083
2018-06-14	-1.12879454805
2018-06-15	-1.86168924586
2018-06-16	-2.21095416088
2018-06-17	-1.98704188777
2018-06-18	-1.58013732128
2018-06-19	-1.77481118585
2018-06-20	-1.63003954402
2018-06-21	-1.64217687732
2018-06-22	-1.62072766786
2018-06-23	-1.93383540973
2018-06-24	-2.45610800835
2018-06-25	-2.64710643515
2018-06-26	
2018-06-27	
2018-06-28	
2018-06-29	
2018-06-30	-4.45779875036
2018-07-01	-3.86708871837
2018-07-02	-3.71448205689
2018-07-03	-3.56756167162
2018-07-04	-3.75120419329
2018-07-05	-3.74812550164
2018-07-06	-3.89241689307
2018-07-07	
2018-07-08	
2018-07-09	
2018-07-10	2.70319552885
2018-07-11	2.82683126489
2018-07-12	2.81639541765
2018-07-13	2.81630003067
2018-07-14	2.42493760458
2018-07-15	2.54682850648
2018-07-16	2.47968426259
2018-07-17	0.342354169917
2018-07-18	-1.99987628375
2018-07-19	-2.20849119962
2018-07-20	-2.15615100606
2018-07-21	-1.90546588394
2018-07-22	-2.07060568396
2018-07-23	1.49881286665
2018-07-24	4.98931213304
2018-07-25	4.97876370253
2018-07-26	5.20954086151
2018-07-27	0.811601054059
2018-07-28	0.817894508299
2018-07-29	-0.508302846507
2018-07-30	-3.53823987071
2018-07-31	-3.99863099284
2018-08-01	-3.88151046203
2018-08-02	-4.11977961696
2018-08-03	-3.84445411192
2018-08-04	-3.93923792496
2018-08-05	
2018-08-06	
2018-08-07	2.94810027961
2018-08-08	2.90873887281
2018-08-09	2.93925451649
2018-08-10	3.45973565107
2018-08-11	3.69793895449
2018-08-12	0.457435824808
2018-08-13	0.907368813406
2018-08-14	-1.88617570378
2018-08-15	-1.72641744758
2018-08-16	-1.63285994301
2018-08-17	-1.9219998248
2018-08-18	-1.76059633043
2018-08-19	-1.6077226575
2018-08-20	-2.02860582918
2018-08-21	
2018-08-22	
2018-08-23	
2018-08-24	
2018-08-25	
2018-08-26	
2018-08-27	
2018-08-28	-1.3273864777
2018-08-29	-1.33634977066
2018-08-30	-1.29740039838
2018-08-31	-2.56599717954
2018-09-01	-2.75714497888
2018-09-02	-3.01626900213
2018-09-03	-2.94123416346
2018-09-04	-3.41855924648
2018-09-05	-3.51578644532
2018-09-06	-3.41468516495
2018-09-07	-0.890482010387
2018-09-08	-0.833506877921
2018-09-09	1.38160288786
2018-09-10	1.24143866049
2018-09-11	1.04276350193
2018-09-12	1.04370539683
2018-09-13	0.894449393385
2018-09-14	
2018-09-15	
2018-09-16	
2018-09-17	-3.30645219171
2018-09-18	-3.38122363883
2018-09-19	-1.59270058354
2018-09-20	-1.56644075964
2018-09-21	-1.26690867765
2018-09-22	-1.30313476086
2018-09-23	-1.00979765852
2018-09-24	0.09870528444
2018-09-25	2.56129037447
2018-09-26	
2018-09-27	
2018-09-28	
2018-09-29	
2018-09-30	
2018-10-01	
2018-10-02	
2018-10-03	
2018-10-04	
2018-10-05	
2018-10-06	
2018-10-07	
2018-10-08	
2018-10-09	
2018-10-10	
2018-10-11	
2018-10-12	
2018-10-13	
2018-10-14	
2018-10-15	
2018-10-16	
2018-10-17	
2018-10-18	
2018-10-19	
2018-10-20	
2018-10-21	
2018-10-22	
2018-10-23	
2018-10-24	
2018-10-25	
2018-10-26	
2018-10-27	
2018-10-28	
2018-10-29	
2018-10-30	
2018-10-31	
2018-11-01	
2018-11-02	
2018-11-03	
2018-11-04	
2018-11-05	
2018-11-06	
2018-11-07	
2018-11-08	
2018-11-09	
2018-11-10	
2018-11-11	
2018-11-12	
2018-11-13	
2018-11-14	
2018-11-15	
2018-11-16	
2018-11-17	
2018-11-18	
2018-11-19	
2018-11-20	
2018-11-21	
2018-11-22	
2018-11-23	
2018-11-24	
2018-11-25	
2018-11-26	
2018-11-27	
2018-11-28	
2018-11-29	
2018-11-30	
2018-12-01	
2018-12-02	
2018-12-03	
2018-12-04	
2018-12-05	
2018-12-06	-4.19909759155
2018-12-07	-4.13809766409
2018-12-08	-3.85242213418
2018-12-09	-3.90168595948
2018-12-10	-3.80410504439
2018-12-11	-3.69472237283
2018-12-12	-3.68967103668
2018-12-13	
2018-12-14	
2018-12-15	
2018-12-16	
2018-12-17	
2018-12-18	
2018-12-19	
2018-12-20	
2018-12-21	
2018-12-22	
2018-12-23	
2018-12-24	3.01543179511
2018-12-25	3.28910407981
2018-12-26	3.27713171654
2018-12-27	3.53691553718
2018-12-28	3.58169689521
2018-12-29	3.79505219208
2018-12-30	4.14967849916
2018-12-31	
2019-01-01	
2019-01-02	
2019-01-03	
2019-01-04	
2019-01-05	
2019-01-06	
2019-01-07	
2019-01-08	
2019-01-09	
2019-01-10	
2019-01-11	
2019-01-12	
2019-01-13	
2019-01-14	
2019-01-15	-1.68355982896
2019-01-16	-1.53970396328
2019-01-17	-1.43137070449
2019-01-18	-1.62542191119
2019-01-19	-1.56151739953
2019-01-20	-1.56304666825
2019-01-21	-1.68858381273
2019-01-22	
2019-01-23	
2019-01-24	
2019-01-25	
2019-01-26	
2019-01-27	
2019-01-28	
2019-01-29	
2019-01-30	
2019-01-31	
2019-02-01	
2019-02-02	
2019-02-03	
2019-02-04	
2019-02-05	
2019-02-06	
2019-02-07	
2019-02-08	-2.50489910028
2019-02-09	1.01433600267
2019-02-10	1.13963156806
2019-02-11	1.14870013834
2019-02-12	1.10128412887
2019-02-13	1.19140235698
2019-02-14	1.19948414615
2019-02-15	4.69810547049
2019-02-16	
2019-02-17	
2019-02-18	
2019-02-19	
