Date	Financials
2018-02-16	
2018-02-17	
2018-02-18	
2018-02-19	
2018-02-20	
2018-02-21	
2018-02-22	
2018-02-23	
2018-02-24	
2018-02-25	
2018-02-26	
2018-02-27	
2018-02-28	
2018-03-01	
2018-03-02	
2018-03-03	
2018-03-04	
2018-03-05	
2018-03-06	
2018-03-07	
2018-03-08	
2018-03-09	
2018-03-10	
2018-03-11	
2018-03-12	
2018-03-13	
2018-03-14	
2018-03-15	
2018-03-16	
2018-03-17	
2018-03-18	
2018-03-19	
2018-03-20	
2018-03-21	
2018-03-22	
2018-03-23	-0.529022792079
2018-03-24	-0.518633800883
2018-03-25	-0.529547036275
2018-03-26	-0.520406188138
2018-03-27	-0.510259638782
2018-03-28	-0.496293476093
2018-03-29	-0.489360045413
2018-03-30	
2018-03-31	
2018-04-01	
2018-04-02	
2018-04-03	
2018-04-04	
2018-04-05	
2018-04-06	
2018-04-07	
2018-04-08	
2018-04-09	
2018-04-10	
2018-04-11	
2018-04-12	
2018-04-13	
2018-04-14	
2018-04-15	
2018-04-16	
2018-04-17	
2018-04-18	
2018-04-19	
2018-04-20	
2018-04-21	
2018-04-22	
2018-04-23	
2018-04-24	
2018-04-25	
2018-04-26	
2018-04-27	
2018-04-28	
2018-04-29	
2018-04-30	
2018-05-01	
2018-05-02	
2018-05-03	
2018-05-04	
2018-05-05	
2018-05-06	
2018-05-07	
2018-05-08	
2018-05-09	
2018-05-10	
2018-05-11	
2018-05-12	
2018-05-13	
2018-05-14	
2018-05-15	
2018-05-16	
2018-05-17	
2018-05-18	
2018-05-19	
2018-05-20	
2018-05-21	
2018-05-22	
2018-05-23	
2018-05-24	
2018-05-25	
2018-05-26	
2018-05-27	
2018-05-28	
2018-05-29	
2018-05-30	
2018-05-31	
2018-06-01	
2018-06-02	
2018-06-03	
2018-06-04	
2018-06-05	
2018-06-06	
2018-06-07	
2018-06-08	
2018-06-09	
2018-06-10	
2018-06-11	
2018-06-12	
2018-06-13	
2018-06-14	
2018-06-15	
2018-06-16	
2018-06-17	
2018-06-18	
2018-06-19	
2018-06-20	
2018-06-21	
2018-06-22	
2018-06-23	
2018-06-24	
2018-06-25	
2018-06-26	
2018-06-27	
2018-06-28	
2018-06-29	
2018-06-30	
2018-07-01	
2018-07-02	
2018-07-03	
2018-07-04	
2018-07-05	
2018-07-06	
2018-07-07	
2018-07-08	
2018-07-09	
2018-07-10	
2018-07-11	
2018-07-12	
2018-07-13	
2018-07-14	
2018-07-15	
2018-07-16	
2018-07-17	
2018-07-18	
2018-07-19	
2018-07-20	
2018-07-21	
2018-07-22	
2018-07-23	
2018-07-24	
2018-07-25	
2018-07-26	
2018-07-27	
2018-07-28	
2018-07-29	
2018-07-30	-0.533275951632
2018-07-31	-0.532921032045
2018-08-01	-0.537263971594
2018-08-02	-0.523056152485
2018-08-03	-0.508228682219
2018-08-04	-0.466296671505
2018-08-05	-0.407058268745
2018-08-06	-0.0713591638656
2018-08-07	-0.0665786994414
2018-08-08	-0.0591237113299
2018-08-09	-0.0698290235612
2018-08-10	-0.0597948463913
2018-08-11	-0.0630460997748
2018-08-12	-0.121461624728
2018-08-13	
2018-08-14	
2018-08-15	
2018-08-16	
2018-08-17	
2018-08-18	
2018-08-19	
2018-08-20	
2018-08-21	
2018-08-22	
2018-08-23	
2018-08-24	
2018-08-25	
2018-08-26	
2018-08-27	
2018-08-28	
2018-08-29	
2018-08-30	
2018-08-31	
2018-09-01	
2018-09-02	
2018-09-03	
2018-09-04	
2018-09-05	
2018-09-06	
2018-09-07	
2018-09-08	
2018-09-09	
2018-09-10	
2018-09-11	
2018-09-12	
2018-09-13	
2018-09-14	
2018-09-15	
2018-09-16	
2018-09-17	
2018-09-18	
2018-09-19	
2018-09-20	
2018-09-21	
2018-09-22	
2018-09-23	
2018-09-24	
2018-09-25	
2018-09-26	
2018-09-27	
2018-09-28	
2018-09-29	
2018-09-30	
2018-10-01	
2018-10-02	
2018-10-03	
2018-10-04	
2018-10-05	
2018-10-06	
2018-10-07	
2018-10-08	
2018-10-09	
2018-10-10	
2018-10-11	
2018-10-12	
2018-10-13	
2018-10-14	
2018-10-15	
2018-10-16	
2018-10-17	
2018-10-18	
2018-10-19	
2018-10-20	
2018-10-21	
2018-10-22	
2018-10-23	
2018-10-24	
2018-10-25	
2018-10-26	
2018-10-27	
2018-10-28	
2018-10-29	
2018-10-30	
2018-10-31	-0.57798439822
2018-11-01	-0.581235715271
2018-11-02	-0.590700394049
2018-11-03	-0.586939340799
2018-11-04	-0.580695445923
2018-11-05	-0.58960518881
2018-11-06	-0.595497755732
2018-11-07	
2018-11-08	
2018-11-09	
2018-11-10	
2018-11-11	
2018-11-12	
2018-11-13	
2018-11-14	
2018-11-15	
2018-11-16	
2018-11-17	
2018-11-18	
2018-11-19	
2018-11-20	
2018-11-21	
2018-11-22	
2018-11-23	
2018-11-24	
2018-11-25	
2018-11-26	
2018-11-27	
2018-11-28	
2018-11-29	
2018-11-30	
2018-12-01	
2018-12-02	
2018-12-03	-0.628542428577
2018-12-04	-0.605419881877
2018-12-05	-0.597878658252
2018-12-06	-0.582083503149
2018-12-07	-0.566891116032
2018-12-08	-0.52306771486
2018-12-09	-0.488981504138
2018-12-10	-0.470445659381
2018-12-11	-0.331512177205
2018-12-12	-0.1818448136
2018-12-13	-0.348083892509
2018-12-14	-0.356496783677
2018-12-15	-0.337688742739
2018-12-16	-0.34628476506
2018-12-17	-0.348418232872
2018-12-18	-0.493552533694
2018-12-19	-0.504069471917
2018-12-20	-0.56468276537
2018-12-21	-0.517902967949
2018-12-22	-0.582125951877
2018-12-23	-0.57198946004
2018-12-24	-0.569714241261
2018-12-25	-0.499374017539
2018-12-26	-0.518155012742
2018-12-27	-0.52066483828
2018-12-28	-0.549582544907
2018-12-29	-0.543746866787
2018-12-30	-0.527854103302
2018-12-31	-0.467902356285
2019-01-01	-0.530344562716
2019-01-02	-0.547205038763
2019-01-03	-0.480369186357
2019-01-04	-0.400759904712
2019-01-05	-0.296989487099
2019-01-06	-0.257331311549
2019-01-07	-0.36384003159
2019-01-08	-0.364427476907
2019-01-09	-0.287865524585
2019-01-10	-0.256521128501
2019-01-11	-0.268860213787
2019-01-12	-0.284974906644
2019-01-13	-0.305290769462
2019-01-14	-0.280796264382
2019-01-15	-0.26727917261
2019-01-16	-0.25307475932
2019-01-17	-0.275107588066
2019-01-18	-0.251038819985
2019-01-19	-0.303952855931
2019-01-20	-0.326474641234
2019-01-21	-0.317134451233
2019-01-22	-0.354996897959
2019-01-23	-0.372885938613
2019-01-24	-0.379037386131
2019-01-25	-0.366781292528
2019-01-26	-0.322855628292
2019-01-27	-0.325380061124
2019-01-28	-0.34771830584
2019-01-29	-0.312425978287
2019-01-30	-0.335555208304
2019-01-31	-0.367510694198
2019-02-01	-0.418374672632
2019-02-02	-0.386380494393
2019-02-03	-0.3516122644
2019-02-04	-0.314295456916
2019-02-05	-0.358573703918
2019-02-06	-0.359220450034
2019-02-07	-0.296615039448
2019-02-08	-0.324383132404
2019-02-09	-0.420348323311
2019-02-10	-0.442675231038
2019-02-11	-0.4587906841
2019-02-12	-0.443733991536
2019-02-13	-0.44741821804
2019-02-14	-0.523327469859
2019-02-15	-0.556650746572
2019-02-16	-0.519778681442
2019-02-17	-0.542469365128
2019-02-18	-0.564165792906
2019-02-19	-0.524892627221
2019-02-20	-0.533814265369
2019-02-21	-0.536737704702
2019-02-22	-0.455336825961
2019-02-23	-0.428422631315
2019-02-24	-0.377844013732
2019-02-25	-0.240229129152
2019-02-26	-0.319926716841
2019-02-27	-0.292399912468
2019-02-28	-0.242429519022
2019-03-01	-0.283653005596
2019-03-02	-0.32030332174
2019-03-03	-0.333439785374
2019-03-04	-0.577203367859
2019-03-05	-0.516324350573
2019-03-06	-0.543989408858
2019-03-07	-0.52131233783
2019-03-08	-0.527330216052
2019-03-09	-0.499522035623
2019-03-10	-0.487888128335
2019-03-11	-0.445286625285
2019-03-12	-0.421175644083
2019-03-13	-0.436823628128
2019-03-14	-0.451012720637
2019-03-15	-0.288475274305
2019-03-16	-0.366144525954
2019-03-17	-0.369556628432
2019-03-18	-0.288280779592
2019-03-19	-0.315855948781
2019-03-20	-0.29346090046
2019-03-21	-0.274529438387
2019-03-22	-0.390723392175
2019-03-23	-0.343310186185
2019-03-24	-0.337493077668
2019-03-25	-0.421441112196
2019-03-26	-0.39411762916
2019-03-27	-0.428205187518
2019-03-28	-0.430470427602
2019-03-29	-0.415515246878
2019-03-30	-0.389978944294
2019-03-31	-0.386513388752
2019-04-01	-0.422196268451
2019-04-02	-0.424663310879
2019-04-03	-0.440799465588
2019-04-04	-0.437040084926
2019-04-05	-0.485665360499
2019-04-06	-0.486314024154
2019-04-07	-0.462603811742
2019-04-08	-0.315930642457
2019-04-09	0.0726819028154
2019-04-10	-0.00973558102751
2019-04-11	-0.13852293868
2019-04-12	-0.163543359808
2019-04-13	-0.167885130857
2019-04-14	-0.18821728868
2019-04-15	-0.225822704473
2019-04-16	-0.268084383673
2019-04-17	-0.237424641996
2019-04-18	-0.094119712519
2019-04-19	-0.0347448946979
2019-04-20	-0.0333259854141
2019-04-21	0.00178718929219
2019-04-22	0.0714057158288
2019-04-23	-0.0387133909847
2019-04-24	0.114317207457
2019-04-25	0.145081721471
2019-04-26	0.0609402462271
2019-04-27	0.0268418998142
2019-04-28	-0.0202209053806
2019-04-29	-0.118168924366
2019-04-30	-0.0703341913951
2019-05-01	-0.211690030592
2019-05-02	-0.278909832797
2019-05-03	-0.251140699128
2019-05-04	-0.321758922316
2019-05-05	-0.289359767839
2019-05-06	0.192328184542
2019-05-07	0.184300677427
2019-05-08	0.170186769081
2019-05-09	0.328492336356
2019-05-10	0.329856234478
2019-05-11	0.350141419512
2019-05-12	0.311810463551
2019-05-13	
2019-05-14	
2019-05-15	
2019-05-16	
2019-05-17	
2019-05-18	
2019-05-19	
2019-05-20	
2019-05-21	
2019-05-22	
2019-05-23	
2019-05-24	
2019-05-25	
2019-05-26	
2019-05-27	
2019-05-28	-0.0495034607342
2019-05-29	-0.0641218972538
2019-05-30	-0.0663471172085
2019-05-31	-0.0565064578331
2019-06-01	-0.0629443343637
2019-06-02	-0.0492970270408
2019-06-03	-0.0572940082653
2019-06-04	
2019-06-05	
2019-06-06	
2019-06-07	
2019-06-08	
2019-06-09	
2019-06-10	0.343044717539
2019-06-11	0.339504352125
2019-06-12	0.339421432212
2019-06-13	0.401068519687
2019-06-14	0.384992270228
2019-06-15	0.393067991657
2019-06-16	0.355630518443
2019-06-17	0.413464695311
2019-06-18	0.422970881967
2019-06-19	0.4165541112
2019-06-20	0.231461326899
2019-06-21	0.252633670746
2019-06-22	0.225728070746
2019-06-23	0.196717327889
2019-06-24	0.184886732515
2019-06-25	0.172182450444
2019-06-26	0.187242232343
2019-06-27	
2019-06-28	0.198604460047
2019-06-29	0.227857857666
2019-06-30	0.254939846555
2019-07-01	0.269513527167
2019-07-02	0.26830676952
2019-07-03	0.250828567046
2019-07-04	0.263023982448
2019-07-05	
2019-07-06	
2019-07-07	
2019-07-08	
2019-07-09	-0.439856171443
2019-07-10	-0.433095743348
2019-07-11	-0.413353101733
2019-07-12	-0.422570379635
