Date	AUD
2017-06-17	3.3395592621
2017-06-18	3.3542348215
2017-06-19	3.30972045152
2017-06-20	0.940391204591
2017-06-21	-1.42644165949
2017-06-22	-1.64902927882
2017-06-23	-1.73311021371
2017-06-24	-1.65671868811
2017-06-25	-1.63813853856
2017-06-26	-1.51044036759
2017-06-27	
2017-06-28	
2017-06-29	
2017-06-30	0.471044597682
2017-07-01	-0.0677934263138
2017-07-02	-0.0030180545733
2017-07-03	-0.0781757134793
2017-07-04	0.0040001693224
2017-07-05	0.0162256102746
2017-07-06	-0.050318878333
2017-07-07	
2017-07-08	1.46832928544
2017-07-09	1.30907017504
2017-07-10	1.94428847732
2017-07-11	1.89808292861
2017-07-12	1.80605656932
2017-07-13	1.84819425874
2017-07-14	1.90787587436
2017-07-15	2.14879338254
2017-07-16	1.21194767692
2017-07-17	0.0971047640249
2017-07-18	0.226824500004
2017-07-19	0.295549441958
2017-07-20	0.322435386037
2017-07-21	0.366785679411
2017-07-22	0.422214161569
2017-07-23	
2017-07-24	
2017-07-25	
2017-07-26	
2017-07-27	
2017-07-28	
2017-07-29	
2017-07-30	
2017-07-31	
2017-08-01	1.09786411919
2017-08-02	2.19373293195
2017-08-03	2.32305295095
2017-08-04	2.52521015432
2017-08-05	2.78380637885
2017-08-06	2.80784932674
2017-08-07	2.79075220672
2017-08-08	3.78484575726
2017-08-09	
2017-08-10	
2017-08-11	
2017-08-12	
2017-08-13	
2017-08-14	
2017-08-15	
2017-08-16	
2017-08-17	
2017-08-18	
2017-08-19	
2017-08-20	
2017-08-21	
2017-08-22	
2017-08-23	
2017-08-24	
2017-08-25	
2017-08-26	
2017-08-27	
2017-08-28	
2017-08-29	
2017-08-30	
2017-08-31	
2017-09-01	
2017-09-02	
2017-09-03	
2017-09-04	
2017-09-05	-2.73777162267
2017-09-06	-2.89331719899
2017-09-07	-2.78187362777
2017-09-08	-2.85629271707
2017-09-09	-2.75391226958
2017-09-10	-2.76278075929
2017-09-11	-2.8561703305
2017-09-12	-3.27183711789
2017-09-13	
2017-09-14	
2017-09-15	
2017-09-16	
2017-09-17	
2017-09-18	-0.915474626974
2017-09-19	-1.11496660728
2017-09-20	-0.90083827876
2017-09-21	-0.82795217424
2017-09-22	-0.614575888505
2017-09-23	-0.462823989856
2017-09-24	-0.437665254642
2017-09-25	
2017-09-26	1.2176026823
2017-09-27	1.11760014655
2017-09-28	0.0656435572634
2017-09-29	-0.0268601784673
2017-09-30	-0.22097471606
2017-10-01	-0.228001381876
2017-10-02	-1.42251748109
2017-10-03	-2.34626934616
2017-10-04	-2.21630067013
2017-10-05	-1.12248568896
2017-10-06	-1.07149308745
2017-10-07	-0.826089733422
