Date	Germany
2018-01-17	-1.07056791485
2018-01-18	-1.11883589365
2018-01-19	-1.08970570029
2018-01-20	-1.25330145881
2018-01-21	-1.00295462479
2018-01-22	-1.17486006134
2018-01-23	-1.16974383358
2018-01-24	-1.56299171687
2018-01-25	-1.56089181287
2018-01-26	-1.76263587374
2018-01-27	-1.89850496564
2018-01-28	-2.0570470779
2018-01-29	-1.78062608334
2018-01-30	-1.73642393792
2018-01-31	-1.32186568824
2018-02-01	-1.58194323565
2018-02-02	-1.1402961134
2018-02-03	-1.39387079034
2018-02-04	-1.37246020623
2018-02-05	-0.431810103089
2018-02-06	0.155579978561
2018-02-07	0.711255232562
2018-02-08	-0.51687618005
2018-02-09	-0.923658462476
2018-02-10	-0.147871183524
2018-02-11	0.128311718658
2018-02-12	-0.391809369892
2018-02-13	-0.86159052372
2018-02-14	-0.989014257064
2018-02-15	-0.410092781206
2018-02-16	-0.34605472083
2018-02-17	-0.485364747579
2018-02-18	-0.3757835036
2018-02-19	-4.04429346447
2018-02-20	-4.00782179907
2018-02-21	-3.97112585713
2018-02-22	-2.92482762143
2018-02-23	-2.22420153558
2018-02-24	-2.63992125276
2018-02-25	-2.17564511922
2018-02-26	-1.26702578497
2018-02-27	-1.3279137844
2018-02-28	-1.24539573061
2018-03-01	-1.08818862872
2018-03-02	-1.25175631263
2018-03-03	-0.965980244761
2018-03-04	-1.53989673452
2018-03-05	-1.68834426773
2018-03-06	-1.47548931854
2018-03-07	-1.4071620344
2018-03-08	-2.04886651851
2018-03-09	-2.25853029779
2018-03-10	-2.22357056555
2018-03-11	-2.2547965718
2018-03-12	-2.79465658454
2018-03-13	-1.84069594412
2018-03-14	-2.16507429489
2018-03-15	-1.93814744683
2018-03-16	-1.84114910448
2018-03-17	-1.99461903345
2018-03-18	-1.72900620897
2018-03-19	-1.19668872
2018-03-20	-1.3426554574
2018-03-21	-1.58991614764
2018-03-22	-1.40679893292
2018-03-23	-0.960277737161
2018-03-24	-0.429571833474
2018-03-25	-0.000917672002404
2018-03-26	-0.311265447451
2018-03-27	0.100044623067
2018-03-28	0.408316372787
2018-03-29	0.052671432985
2018-03-30	-0.466120642815
2018-03-31	-0.57127966604
2018-04-01	-0.980225932345
2018-04-02	
2018-04-03	
2018-04-04	
2018-04-05	
2018-04-06	
2018-04-07	
2018-04-08	
2018-04-09	
2018-04-10	
2018-04-11	
2018-04-12	
2018-04-13	
2018-04-14	
2018-04-15	
2018-04-16	
2018-04-17	-2.72044379919
2018-04-18	-0.388300534805
2018-04-19	-0.350237628799
2018-04-20	-0.355425696311
2018-04-21	-0.472703407502
2018-04-22	-0.494927107854
2018-04-23	-0.593825746142
2018-04-24	0.357656953504
2018-04-25	-0.586476659165
2018-04-26	-0.558168678217
2018-04-27	-0.370306014798
2018-04-28	0.147083137624
2018-04-29	-0.210153935288
2018-04-30	-0.292066996541
2018-05-01	-0.532822374138
2018-05-02	-0.182263820331
2018-05-03	-0.15478499802
2018-05-04	-0.120212839162
2018-05-05	-0.142324867573
2018-05-06	0.146852306316
2018-05-07	0.296970159049
2018-05-08	-0.169943504351
2018-05-09	-0.434452575707
2018-05-10	-0.415163674518
2018-05-11	-1.12232336652
2018-05-12	-0.83720908122
2018-05-13	-1.07048271739
2018-05-14	-1.29512602476
2018-05-15	-1.02239822107
2018-05-16	-0.090718417892
2018-05-17	-0.164592639882
2018-05-18	2.47985423081
2018-05-19	2.56659189973
2018-05-20	2.83738988171
2018-05-21	2.91238305806
2018-05-22	2.10373384735
2018-05-23	1.04975188883
2018-05-24	-0.169268345434
2018-05-25	0.164190588448
2018-05-26	0.035141696232
2018-05-27	0.035141696232
2018-05-28	-0.374392868744
2018-05-29	-1.36115961588
2018-05-30	-1.23202525468
2018-05-31	-1.02857637146
2018-06-01	-0.610639048487
2018-06-02	-0.63032247651
2018-06-03	-0.78991936929
2018-06-04	-0.611728961925
2018-06-05	-0.573897745775
2018-06-06	-1.21954009259
2018-06-07	-1.63065190557
2018-06-08	-1.26689637077
2018-06-09	-1.12044728979
2018-06-10	-1.23391151752
2018-06-11	-0.894311365939
2018-06-12	-1.10941396374
2018-06-13	-0.52867833361
2018-06-14	
2018-06-15	
2018-06-16	
2018-06-17	
2018-06-18	-2.18992726811
2018-06-19	-1.92941473303
2018-06-20	-0.501561707743
2018-06-21	-0.45607000151
2018-06-22	-0.563190213265
2018-06-23	0.330602948979
2018-06-24	0.581284839354
2018-06-25	1.81068298393
2018-06-26	1.23116365091
2018-06-27	0.478738771477
2018-06-28	0.683971781612
2018-06-29	0.725389183365
2018-06-30	0.386982615889
2018-07-01	0.452476121184
2018-07-02	-0.283812141716
2018-07-03	-1.46881906803
2018-07-04	-0.714476793053
2018-07-05	-0.651598004563
2018-07-06	-0.716399796117
2018-07-07	-0.290075086583
2018-07-08	-0.583169166783
2018-07-09	0.257181676858
2018-07-10	0.694752297761
2018-07-11	0.803613012862
2018-07-12	1.29910074298
2018-07-13	1.09787114105
2018-07-14	2.35473501451
2018-07-15	2.35473501451
2018-07-16	
2018-07-17	
2018-07-18	
2018-07-19	
2018-07-20	
2018-07-21	
2018-07-22	
2018-07-23	
2018-07-24	2.29102574594
2018-07-25	2.56391141433
2018-07-26	2.50261038673
2018-07-27	2.53928649919
2018-07-28	2.34260299317
2018-07-29	2.50808855613
2018-07-30	0.762778118214
2018-07-31	-0.778204114749
2018-08-01	-0.860217413848
2018-08-02	-0.778894106971
2018-08-03	-0.653974248094
2018-08-04	-0.368137205884
2018-08-05	-0.853824999629
2018-08-06	-1.36525911266
2018-08-07	0.063529590314
2018-08-08	0.104788388492
2018-08-09	0.336763645653
2018-08-10	0.50727173621
2018-08-11	1.17022825453
2018-08-12	-0.0951861770413
2018-08-13	0.366883404334
2018-08-14	-1.42483162584
2018-08-15	-1.16605179801
2018-08-16	-0.566137668993
2018-08-17	-0.711967628138
2018-08-18	-1.27642849717
2018-08-19	-1.08728987533
2018-08-20	-1.43248354513
2018-08-21	-0.674609431006
2018-08-22	-1.1666113041
2018-08-23	-1.48738211478
2018-08-24	-1.39882947723
2018-08-25	-1.47054505845
2018-08-26	-0.957854779062
2018-08-27	-1.20731911158
2018-08-28	-1.88071406655
2018-08-29	
2018-08-30	
2018-08-31	-2.71690123475
2018-09-01	-2.68852636453
2018-09-02	-2.68852636453
2018-09-03	-1.98129477868
2018-09-04	-1.60712892799
2018-09-05	-1.06944901771
2018-09-06	-1.03888848171
2018-09-07	-0.402030221717
2018-09-08	-0.402030221717
2018-09-09	-0.0311789718762
2018-09-10	0.0168742477814
2018-09-11	-0.231060684198
2018-09-12	0.0425297315663
2018-09-13	-0.138410016863
2018-09-14	-0.847291533669
2018-09-15	-0.379686605993
2018-09-16	-1.2999637689
2018-09-17	-1.21402896551
2018-09-18	0.189527258854
2018-09-19	1.57105112072
2018-09-20	1.82340926473
2018-09-21	1.71398639315
2018-09-22	1.47108956692
2018-09-23	2.34685748978
2018-09-24	1.50692083847
2018-09-25	1.10416473953
2018-09-26	0.569415871531
2018-09-27	0.452284013377
2018-09-28	0.815304936123
2018-09-29	0.6395791249
2018-09-30	0.871950547021
2018-10-01	1.06479882124
2018-10-02	0.504738420213
2018-10-03	0.233480588619
2018-10-04	-0.03516656249
2018-10-05	0.158568941986
2018-10-06	0.158568941986
2018-10-07	0.203997067036
2018-10-08	-1.818795159
2018-10-09	-0.575311142059
2018-10-10	-0.422673130172
2018-10-11	-0.14556103752
2018-10-12	-0.361999235949
2018-10-13	-0.361999235949
2018-10-14	-0.876100482473
2018-10-15	-0.226654275969
2018-10-16	-2.20023924162
2018-10-17	-0.0134934324443
2018-10-18	-0.299163031627
2018-10-19	-0.522676622164
2018-10-20	-0.272665762318
2018-10-21	-0.86859942474
2018-10-22	-0.863597906562
2018-10-23	-0.605137412363
2018-10-24	-1.56656133147
2018-10-25	-1.87992225391
2018-10-26	-1.66284645588
2018-10-27	-1.80973009604
2018-10-28	-0.0450526599886
2018-10-29	1.25584231152
2018-10-30	1.04266289745
2018-10-31	1.40979961897
2018-11-01	1.42612908391
2018-11-02	1.16887913458
2018-11-03	1.98800717606
2018-11-04	0.981587197924
2018-11-05	1.04401886004
2018-11-06	1.08233288753
2018-11-07	1.04235402478
2018-11-08	1.1902155629
2018-11-09	0.353737255048
2018-11-10	0.10976264068
2018-11-11	0.606331768149
2018-11-12	0.140159110025
2018-11-13	0.139853637937
2018-11-14	-0.446426452823
2018-11-15	-0.175017069966
2018-11-16	
2018-11-17	
2018-11-18	
2018-11-19	
2018-11-20	-1.63981511608
2018-11-21	-1.8389898404
2018-11-22	-1.69877854923
2018-11-23	-1.37602658744
2018-11-24	-1.30757326635
2018-11-25	-1.13620295843
2018-11-26	-1.25084215396
2018-11-27	-1.32031864605
2018-11-28	
2018-11-29	
2018-11-30	
2018-12-01	
2018-12-02	
2018-12-03	
2018-12-04	
2018-12-05	
2018-12-06	-2.52855076084
2018-12-07	-1.96014281373
2018-12-08	-1.73768005549
2018-12-09	-1.95401547564
2018-12-10	-1.48151298502
2018-12-11	-0.762529765328
2018-12-12	-1.08719764099
2018-12-13	-1.10398005991
2018-12-14	-0.593994604647
2018-12-15	-0.627694186537
2018-12-16	-0.106987297958
2018-12-17	0.693749819124
2018-12-18	
2018-12-19	
2018-12-20	
2018-12-21	
2018-12-22	
2018-12-23	
2018-12-24	
2018-12-25	
2018-12-26	
2018-12-27	
