Date	Communication Services
2017-03-24	-0.189715298628
2017-03-25	-0.152282748771
2017-03-26	-0.153403259688
2017-03-27	-0.148631079612
2017-03-28	-0.150577475513
2017-03-29	-0.136515762775
2017-03-30	-0.14565889367
2017-03-31	-0.148720925484
2017-04-01	-0.107073437123
2017-04-02	-0.105142257016
2017-04-03	-0.135535748574
2017-04-04	-0.101191123694
2017-04-05	-0.101796397526
2017-04-06	-0.145228610826
2017-04-07	-0.1460967803
2017-04-08	-0.138101777266
2017-04-09	-0.133327414986
2017-04-10	-0.104274812596
2017-04-11	-0.100208646329
2017-04-12	-0.0722098540225
2017-04-13	-0.0138741001019
2017-04-14	0.0126602849312
2017-04-15	0.0305738022129
2017-04-16	0.0374123787947
2017-04-17	-0.00018220067263
2017-04-18	0.010388938366
2017-04-19	-0.0159056836899
2017-04-20	-0.0143742980727
2017-04-21	-0.0299833431622
2017-04-22	-0.017369543283
2017-04-23	-0.0216482195111
2017-04-24	-0.0376101907199
2017-04-25	-0.0287638701331
2017-04-26	-0.0233134496696
2017-04-27	-0.0117363712274
2017-04-28	-0.0444634447044
2017-04-29	-0.0295069927677
2017-04-30	-0.0254496800141
2017-05-01	-0.0125512905272
2017-05-02	-0.00686646604764
2017-05-03	0.0206519684528
2017-05-04	0.00389586232048
2017-05-05	0.0161236207578
2017-05-06	0.0366962138563
2017-05-07	0.0370905284555
2017-05-08	0.0256384874139
2017-05-09	0.00939457324852
2017-05-10	-0.0011426915364
2017-05-11	-0.0259980455917
2017-05-12	-0.068622148024
2017-05-13	-0.0913786943998
2017-05-14	-0.0780120255164
2017-05-15	-0.0761489053745
2017-05-16	-0.0817002671555
2017-05-17	-0.0611868242064
2017-05-18	-0.0676970528433
2017-05-19	-0.0605622003644
2017-05-20	-0.0551046037088
2017-05-21	-0.0157557073624
2017-05-22	-0.0154582748851
2017-05-23	-0.0136460557111
2017-05-24	-0.014768524586
2017-05-25	-0.0207343073786
2017-05-26	-0.0156594724195
2017-05-27	-0.03381741527
2017-05-28	-0.00780894054212
2017-05-29	-0.015137263526
2017-05-30	-0.0274661437162
2017-05-31	-0.0571778198029
2017-06-01	-0.062705942616
2017-06-02	-0.0704147702556
2017-06-03	-0.0752554335483
2017-06-04	-0.0958292968219
2017-06-05	-0.0933646942951
2017-06-06	-0.0916603035023
2017-06-07	-0.0946208607411
2017-06-08	-0.0875606444878
2017-06-09	-0.0670288441952
2017-06-10	-0.0397598080365
2017-06-11	-0.00129357043055
2017-06-12	0.00663999590909
2017-06-13	-0.0196670955047
2017-06-14	-0.0443938549039
2017-06-15	-0.0411768233881
2017-06-16	-0.0661176480208
2017-06-17	-0.0655293943532
2017-06-18	-0.0735825023483
2017-06-19	-0.0570396712965
2017-06-20	-0.0898695653258
2017-06-21	-0.0959101875165
2017-06-22	-0.0944582133448
2017-06-23	-0.0918848937978
2017-06-24	-0.0910819697789
2017-06-25	-0.108563008328
2017-06-26	-0.105899835898
2017-06-27	-0.0992294302032
2017-06-28	-0.113109063758
2017-06-29	-0.0975233826628
2017-06-30	-0.0869268123764
2017-07-01	-0.0983015128524
2017-07-02	-0.0954433799774
2017-07-03	-0.0953013087624
2017-07-04	-0.0986006079534
2017-07-05	-0.0993785291612
2017-07-06	-0.100730814835
2017-07-07	-0.072330164682
2017-07-08	-0.0732869519042
2017-07-09	-0.0971078017288
2017-07-10	-0.0837680003065
2017-07-11	-0.0881876073065
2017-07-12	-0.0869112643687
2017-07-13	-0.0973421869777
2017-07-14	-0.0733358479346
2017-07-15	-0.0715501146572
2017-07-16	-0.0469021335237
2017-07-17	-0.0500306254315
2017-07-18	0.0118289396426
2017-07-19	-0.0175734623562
2017-07-20	0.0124821798008
2017-07-21	0.0177670928476
2017-07-22	0.0201780353294
2017-07-23	0.0217514224013
2017-07-24	-0.0162041535914
2017-07-25	-0.0134940761694
2017-07-26	-0.010510761246
2017-07-27	-0.0317641129896
2017-07-28	-0.0625273090829
2017-07-29	-0.0625929339263
2017-07-30	-0.086928617783
2017-07-31	-0.087744589587
2017-08-01	-0.0703398051872
2017-08-02	-0.072951638576
2017-08-03	-0.073443195734
2017-08-04	-0.0590104687002
2017-08-05	-0.0601533277571
2017-08-06	-0.0899719218001
2017-08-07	-0.0919972644625
2017-08-08	-0.0930419264322
2017-08-09	-0.1037183025
2017-08-10	-0.0804266318112
2017-08-11	-0.079368638175
2017-08-12	-0.0607139204428
2017-08-13	-0.0663394502774
2017-08-14	-0.0799966682862
2017-08-15	-0.0836922510368
2017-08-16	-0.0823884929502
2017-08-17	-0.114366951324
2017-08-18	-0.0887857782737
2017-08-19	-0.119269064026
2017-08-20	-0.122222176049
2017-08-21	-0.11731065983
2017-08-22	-0.122980128052
2017-08-23	-0.0928523363925
2017-08-24	-0.088177938915
2017-08-25	-0.120264177824
2017-08-26	-0.101203730959
2017-08-27	-0.0583634746051
2017-08-28	-0.0604201705255
2017-08-29	-0.00770327862203
2017-08-30	-0.00746354896424
2017-08-31	-0.0313444262654
2017-09-01	-0.0288619521284
2017-09-02	-0.022834950989
2017-09-03	-0.0431436674942
2017-09-04	-0.0359464863348
2017-09-05	-0.0316389451348
2017-09-06	-0.0285562843563
2017-09-07	-0.0504196882719
2017-09-08	-0.00211985135975
2017-09-09	-0.0187693319306
2017-09-10	-0.0180550159526
2017-09-11	0.0190682319544
2017-09-12	0.0206656683219
2017-09-13	-0.0540050400237
2017-09-14	-0.0525318626076
2017-09-15	-0.0345874556013
2017-09-16	-0.0451573793513
2017-09-17	-0.0742595744797
2017-09-18	-0.0761751931664
2017-09-19	-0.0579301536918
2017-09-20	-0.0099593210045
2017-09-21	-0.00703795004193
2017-09-22	-0.00862149294375
2017-09-23	-0.0177099097408
2017-09-24	0.0509486965732
2017-09-25	0.0506465868937
2017-09-26	0.0293206788639
2017-09-27	-0.0308957514089
2017-09-28	-0.0359576627105
2017-09-29	-0.0206743592793
2017-09-30	-0.0192902600043
2017-10-01	-0.0216915311192
2017-10-02	-0.0310436763402
2017-10-03	-0.0388609128817
2017-10-04	-0.0920538537432
2017-10-05	-0.132255507747
2017-10-06	-0.102837972283
2017-10-07	-0.0917318339164
2017-10-08	-0.135508771992
2017-10-09	-0.142903681548
2017-10-10	-0.146072937764
2017-10-11	-0.149682704814
2017-10-12	-0.155822365796
2017-10-13	-0.123897468405
2017-10-14	-0.0916221415976
2017-10-15	-0.0965978672899
2017-10-16	-0.0978152318732
2017-10-17	-0.0843691058306
2017-10-18	-0.0858186108439
2017-10-19	-0.119056810832
2017-10-20	-0.166256836501
2017-10-21	-0.161846146451
2017-10-22	-0.171171435382
2017-10-23	-0.180812310558
2017-10-24	-0.177448676658
2017-10-25	-0.171420494507
2017-10-26	-0.168862199426
2017-10-27	-0.141502928547
2017-10-28	-0.125271391213
2017-10-29	-0.149508743501
2017-10-30	-0.176747187592
2017-10-31	-0.174199635235
2017-11-01	-0.170290644587
2017-11-02	-0.16742128151
2017-11-03	-0.138444261015
2017-11-04	-0.100622398639
2017-11-05	-0.133703016
2017-11-06	-0.135147209617
2017-11-07	-0.129062830284
2017-11-08	-0.126763474676
2017-11-09	-0.122379348035
2017-11-10	-0.15247249735
2017-11-11	-0.115100987014
2017-11-12	-0.0925360984023
2017-11-13	-0.137382202528
2017-11-14	-0.159862808714
2017-11-15	-0.167426228748
2017-11-16	-0.202657827992
2017-11-17	-0.206752875683
2017-11-18	-0.181431820755
2017-11-19	-0.167295818473
2017-11-20	-0.189725248648
2017-11-21	-0.21029588255
2017-11-22	-0.213058325123
2017-11-23	-0.216247739814
2017-11-24	-0.238457844725
2017-11-25	-0.182896891341
2017-11-26	-0.177309230785
2017-11-27	-0.190243604385
2017-11-28	-0.168222030148
2017-11-29	-0.145435283583
2017-11-30	-0.149454712131
2017-12-01	-0.14707230858
2017-12-02	-0.10583107827
2017-12-03	-0.1099294629
2017-12-04	-0.111897836103
2017-12-05	-0.11080421443
2017-12-06	-0.129287417183
2017-12-07	-0.130758115879
2017-12-08	-0.135889986735
2017-12-09	-0.129489564386
2017-12-10	-0.131663649204
2017-12-11	-0.151438560483
2017-12-12	-0.161134215312
2017-12-13	-0.177747828133
2017-12-14	-0.177302930295
2017-12-15	-0.134225441328
2017-12-16	-0.103203262494
2017-12-17	-0.0932440649597
2017-12-18	-0.100523558798
2017-12-19	-0.0934562768396
2017-12-20	-0.0627301020938
2017-12-21	-0.0304005832605
2017-12-22	-0.0210499554932
2017-12-23	-0.00344674978483
2017-12-24	0.0251679968743
2017-12-25	-0.00255788262033
2017-12-26	-0.02087331316
2017-12-27	-0.0237340836509
2017-12-28	-0.0249730155465
2017-12-29	-0.0297989372319
2017-12-30	-0.0139210392319
2017-12-31	-0.0139069858435
2018-01-01	-0.0117936026769
2018-01-02	-0.0126663418127
2018-01-03	-0.0197687114245
2018-01-04	-0.0385544835217
2018-01-05	-0.0117024920657
2018-01-06	0.0106523594397
2018-01-07	0.0106874697992
2018-01-08	-0.0169542149067
2018-01-09	-0.0142847951536
2018-01-10	-0.00955956595263
2018-01-11	0.00928092891966
2018-01-12	0.0122532395165
2018-01-13	-0.0223482176412
2018-01-14	-0.05025800477
2018-01-15	-0.0783028628512
2018-01-16	-0.0647838840829
2018-01-17	-0.0458074772076
2018-01-18	-0.0658161874993
2018-01-19	-0.0650587059673
2018-01-20	-0.0602908503007
2018-01-21	-0.00157169745186
2018-01-22	-0.0268046842435
2018-01-23	-0.0503234318963
2018-01-24	-0.0815228311801
2018-01-25	-0.0769480316417
2018-01-26	-0.0741787629354
2018-01-27	-0.0743052274452
2018-01-28	-0.0660382713266
2018-01-29	-0.0693888879869
2018-01-30	-0.0758906278035
2018-01-31	-0.128067869838
2018-02-01	-0.144926236947
2018-02-02	-0.135508700983
2018-02-03	-0.126167828453
2018-02-04	-0.129368612047
