Date	Industrials
2018-12-16	-0.370175180639
2018-12-17	-0.370376898388
2018-12-18	-0.387398315508
2018-12-19	-0.431190401223
2018-12-20	-0.430334802622
2018-12-21	-0.436452593951
2018-12-22	-0.488414858497
2018-12-23	-0.475942588744
2018-12-24	-0.584621607601
2018-12-25	-0.653938539778
2018-12-26	-0.580544738672
2018-12-27	-0.4945685274
2018-12-28	-0.508302049446
2018-12-29	-0.522791124276
2018-12-30	-0.53838863501
2018-12-31	-0.454446627273
2019-01-01	-0.521609466438
2019-01-02	-0.594030919235
2019-01-03	-0.694642739654
2019-01-04	-0.618401637795
2019-01-05	-0.513857830929
2019-01-06	-0.452686500438
2019-01-07	-0.433765077824
2019-01-08	-0.331186300445
2019-01-09	-0.274773192017
2019-01-10	-0.214166346337
2019-01-11	-0.258229005385
2019-01-12	-0.263203465679
2019-01-13	-0.328569245338
2019-01-14	-0.312295072636
2019-01-15	-0.342710477956
2019-01-16	-0.377459971939
2019-01-17	-0.391226902132
2019-01-18	-0.352878629324
2019-01-19	-0.381416520899
2019-01-20	-0.383612545347
2019-01-21	-0.45150357653
2019-01-22	-0.490716892854
2019-01-23	-0.467205253416
2019-01-24	-0.470595381458
2019-01-25	-0.486919098669
2019-01-26	-0.451338069206
2019-01-27	-0.346516113353
2019-01-28	-0.284083747785
2019-01-29	-0.189549574095
2019-01-30	-0.189045651181
2019-01-31	-0.174600546902
2019-02-01	-0.163123976274
2019-02-02	-0.121783620929
2019-02-03	-0.184928772976
2019-02-04	-0.178694537689
2019-02-05	-0.245665944881
2019-02-06	-0.250389453397
2019-02-07	-0.271850195233
2019-02-08	-0.379605453097
2019-02-09	-0.493677565259
2019-02-10	-0.504759679185
2019-02-11	-0.533948219072
2019-02-12	-0.523603038852
2019-02-13	-0.485184835726
2019-02-14	-0.468699142118
2019-02-15	-0.391464409802
2019-02-16	-0.342908558597
2019-02-17	-0.31062154818
2019-02-18	-0.253254685668
2019-02-19	-0.19032303031
2019-02-20	-0.242115798118
2019-02-21	-0.196001284214
2019-02-22	-0.117612248332
2019-02-23	-0.117650619476
2019-02-24	-0.110776233693
2019-02-25	-0.108651401377
2019-02-26	-0.164235343147
2019-02-27	-0.0843215085196
2019-02-28	-0.108031219941
2019-03-01	-0.0129719407321
2019-03-02	0.030593648071
2019-03-03	0.0288846791878
2019-03-04	-0.13248393801
2019-03-05	-0.0036697450819
2019-03-06	-0.0775306233407
2019-03-07	-0.0703026287721
2019-03-08	-0.199800185854
2019-03-09	-0.159871373541
2019-03-10	-0.14990436187
2019-03-11	-0.171018838361
2019-03-12	-0.213739640022
2019-03-13	-0.214395667925
2019-03-14	-0.237538875945
2019-03-15	-0.208703876497
2019-03-16	-0.257369942488
2019-03-17	-0.267418440337
2019-03-18	-0.198129190144
2019-03-19	-0.223493602148
2019-03-20	-0.228661399816
2019-03-21	-0.191678075417
2019-03-22	-0.227730355057
