Date	Canada
2017-11-13	-1.73038539747
2017-11-14	-1.55335238138
2017-11-15	-1.63114623825
2017-11-16	-1.72844955224
2017-11-17	-1.7883364603
2017-11-18	-1.56601308042
2017-11-19	-1.35166995287
2017-11-20	-1.38434431875
2017-11-21	-1.98204363806
2017-11-22	-1.73121083933
2017-11-23	-1.55852221436
2017-11-24	-1.47892198594
2017-11-25	-1.95460032575
2017-11-26	-1.00862119353
2017-11-27	-2.437215615
2017-11-28	-1.80517891983
2017-11-29	-1.75710125002
2017-11-30	-2.04154314829
2017-12-01	-2.07361124845
2017-12-02	-2.09161852648
2017-12-03	-2.65765470276
2017-12-04	-1.23248528073
2017-12-05	-1.40220570294
2017-12-06	-1.56309196158
2017-12-07	-1.14787871979
2017-12-08	-1.08195312483
2017-12-09	-0.559458579975
2017-12-10	-0.824234402024
2017-12-11	-1.10173284226
2017-12-12	-0.977813056189
2017-12-13	-0.969492814324
2017-12-14	-0.91032596217
2017-12-15	-0.76350514039
2017-12-16	-1.23508281916
2017-12-17	-0.589536897141
2017-12-18	-0.736923228325
2017-12-19	-0.859051576671
2017-12-20	-0.549074701172
2017-12-21	-0.538706342273
2017-12-22	-1.09636233992
2017-12-23	-1.13383354292
2017-12-24	-0.923993308234
2017-12-25	-1.13515483703
2017-12-26	-1.10387078226
2017-12-27	-1.37037124535
2017-12-28	-1.38454809349
2017-12-29	-1.03908255104
2017-12-30	-0.570431002701
2017-12-31	-0.78883153879
2018-01-01	-0.536852965921
2018-01-02	-0.662269429582
2018-01-03	-0.397726582092
2018-01-04	-0.252730927225
2018-01-05	-0.0871374397655
2018-01-06	0.101456812161
2018-01-07	-0.000393777435776
2018-01-08	-0.421779245144
2018-01-09	-0.187671150077
2018-01-10	-0.0522268423761
2018-01-11	-0.145303881027
2018-01-12	-0.324989726103
2018-01-13	-0.770898390612
2018-01-14	-0.717334943492
2018-01-15	0.0738933886232
2018-01-16	0.368248850646
2018-01-17	-1.81403556616
2018-01-18	-2.36465640835
2018-01-19	-2.30076100898
2018-01-20	-2.59902350521
2018-01-21	-2.91392993858
2018-01-22	-2.34516419767
2018-01-23	-1.61128849348
2018-01-24	-1.10788689755
2018-01-25	-1.0309876834
2018-01-26	-1.05835876356
2018-01-27	-1.14274337763
2018-01-28	-0.957529454904
2018-01-29	-1.07800169826
2018-01-30	-1.70281244802
2018-01-31	-1.43722712757
2018-02-01	-1.52355021468
2018-02-02	-1.63159294427
2018-02-03	-1.61975769778
2018-02-04	-1.57249729519
2018-02-05	-1.74208720134
