Date	Japan
2018-01-14	-3.20193740262
2018-01-15	-3.14452234498
2018-01-16	-2.99300994913
2018-01-17	-2.95895416216
2018-01-18	
2018-01-19	
2018-01-20	
2018-01-21	
2018-01-22	
2018-01-23	
2018-01-24	
2018-01-25	
2018-01-26	
2018-01-27	
2018-01-28	
2018-01-29	
2018-01-30	
2018-01-31	
2018-02-01	-4.09071808658
2018-02-02	-3.83755746964
2018-02-03	-3.61804604212
2018-02-04	-3.27728387735
2018-02-05	-3.15745948951
2018-02-06	-2.86712771008
2018-02-07	-2.72588993256
2018-02-08	
2018-02-09	
2018-02-10	
2018-02-11	
2018-02-12	
2018-02-13	2.18365337939
2018-02-14	2.05005452423
2018-02-15	1.86781610063
2018-02-16	1.45269064021
2018-02-17	1.15613067968
2018-02-18	0.646483754223
2018-02-19	0.493585248933
2018-02-20	
2018-02-21	
2018-02-22	
2018-02-23	
2018-02-24	
2018-02-25	
2018-02-26	
2018-02-27	
2018-02-28	
2018-03-01	
2018-03-02	
2018-03-03	
2018-03-04	
2018-03-05	
2018-03-06	
2018-03-07	
2018-03-08	1.16484423198
2018-03-09	0.816144432352
2018-03-10	0.706435765538
2018-03-11	0.414167324132
2018-03-12	0.240904527872
2018-03-13	0.310782591538
2018-03-14	0.285407367808
2018-03-15	
2018-03-16	
2018-03-17	
2018-03-18	
2018-03-19	
2018-03-20	
2018-03-21	
2018-03-22	
2018-03-23	
2018-03-24	
2018-03-25	
2018-03-26	
2018-03-27	
2018-03-28	
2018-03-29	
2018-03-30	
2018-03-31	
2018-04-01	
2018-04-02	-2.28786871146
2018-04-03	-2.32178334815
2018-04-04	-2.15730430052
2018-04-05	0.180305665312
2018-04-06	0.551313020748
2018-04-07	0.580858874964
2018-04-08	0.86629991363
2018-04-09	3.42250621709
2018-04-10	3.41311288663
2018-04-11	3.32683820903
2018-04-12	-0.453648406141
2018-04-13	-0.891913476267
2018-04-14	-1.33298312361
2018-04-15	-1.42595820188
2018-04-16	-1.44048599983
2018-04-17	-1.41424185902
2018-04-18	-1.6204511739
2018-04-19	
2018-04-20	
2018-04-21	
2018-04-22	
2018-04-23	
2018-04-24	
2018-04-25	
2018-04-26	-1.82649173847
2018-04-27	-0.298838972573
2018-04-28	-0.174021566045
2018-04-29	-0.272187703361
2018-04-30	-0.28714258493
2018-05-01	-0.222790998891
2018-05-02	-0.314384503414
2018-05-03	0.934777622189
2018-05-04	
2018-05-05	
2018-05-06	
2018-05-07	
2018-05-08	
2018-05-09	
2018-05-10	
2018-05-11	
2018-05-12	
2018-05-13	
2018-05-14	
2018-05-15	
2018-05-16	
2018-05-17	
2018-05-18	
2018-05-19	
2018-05-20	
2018-05-21	
2018-05-22	
2018-05-23	
2018-05-24	-2.36368213225
2018-05-25	-2.32071433019
2018-05-26	-2.13307947199
2018-05-27	-1.96404913077
2018-05-28	-1.79752532505
2018-05-29	-1.82607361621
2018-05-30	-1.97698503199
2018-05-31	
2018-06-01	
2018-06-02	
2018-06-03	
2018-06-04	
2018-06-05	
2018-06-06	
2018-06-07	-0.410285281357
2018-06-08	-0.763221907762
2018-06-09	-0.655518701223
2018-06-10	-0.552573290382
2018-06-11	-0.567239957439
2018-06-12	-0.304552178678
2018-06-13	-0.600962703134
2018-06-14	-0.64582763502
2018-06-15	0.302241169869
2018-06-16	0.243064155502
2018-06-17	0.596109755013
2018-06-18	0.853662342289
2018-06-19	
2018-06-20	
2018-06-21	
2018-06-22	
2018-06-23	-1.43036221712
2018-06-24	-1.40581158214
2018-06-25	-1.49869309929
2018-06-26	-1.54096092148
2018-06-27	-1.26221506027
2018-06-28	-1.17188277756
2018-06-29	-1.21388000687
2018-06-30	
2018-07-01	
2018-07-02	
2018-07-03	
2018-07-04	
2018-07-05	
2018-07-06	
2018-07-07	
2018-07-08	
2018-07-09	
2018-07-10	
2018-07-11	-2.49615273875
2018-07-12	-2.54996512871
2018-07-13	-2.5561842758
2018-07-14	-2.31212670164
2018-07-15	-2.41102501084
2018-07-16	-2.27922049405
2018-07-17	-2.52403507842
2018-07-18	
2018-07-19	
2018-07-20	
2018-07-21	
2018-07-22	
2018-07-23	
2018-07-24	
2018-07-25	-0.478326275508
2018-07-26	-0.486525307386
2018-07-27	-0.794413635902
2018-07-28	-0.922410060463
2018-07-29	-0.971068237469
2018-07-30	-0.824357463033
2018-07-31	-0.452889747895
2018-08-01	
2018-08-02	
2018-08-03	
2018-08-04	
2018-08-05	
2018-08-06	
2018-08-07	
2018-08-08	
2018-08-09	
2018-08-10	
2018-08-11	
2018-08-12	
2018-08-13	
2018-08-14	
2018-08-15	
2018-08-16	
2018-08-17	
2018-08-18	
2018-08-19	
2018-08-20	
2018-08-21	
2018-08-22	
2018-08-23	
2018-08-24	
2018-08-25	
2018-08-26	
2018-08-27	
2018-08-28	
2018-08-29	
2018-08-30	
2018-08-31	
2018-09-01	
2018-09-02	
2018-09-03	
2018-09-04	
2018-09-05	
2018-09-06	
2018-09-07	
2018-09-08	
2018-09-09	
2018-09-10	
2018-09-11	
2018-09-12	
2018-09-13	
2018-09-14	
2018-09-15	
2018-09-16	
2018-09-17	
2018-09-18	
2018-09-19	
2018-09-20	-1.11302861562
2018-09-21	-1.19851110147
2018-09-22	-1.2423943766
2018-09-23	-1.54948962677
2018-09-24	-1.74900601717
2018-09-25	-1.7474531945
2018-09-26	-1.61372442985
2018-09-27	
2018-09-28	
2018-09-29	
2018-09-30	
2018-10-01	
2018-10-02	
2018-10-03	
2018-10-04	-3.42830653613
2018-10-05	-3.35622026775
2018-10-06	-3.03000623906
2018-10-07	-2.91276644253
2018-10-08	-2.71131413231
2018-10-09	-2.6228327807
