Date	Utilities
2018-03-28	-0.281606613156
2018-03-29	-0.288854651968
2018-03-30	-0.329973547802
2018-03-31	-0.335246104944
2018-04-01	-0.326040064057
2018-04-02	
2018-04-03	
2018-04-04	
2018-04-05	
2018-04-06	
2018-04-07	
2018-04-08	
2018-04-09	
2018-04-10	
2018-04-11	
2018-04-12	
2018-04-13	
2018-04-14	
2018-04-15	
2018-04-16	
2018-04-17	
2018-04-18	
2018-04-19	
2018-04-20	
2018-04-21	
2018-04-22	
2018-04-23	
2018-04-24	
2018-04-25	0.213812589918
2018-04-26	0.232702478261
2018-04-27	0.23573503721
2018-04-28	0.27095374245
2018-04-29	0.284297369236
2018-04-30	0.179823709246
2018-05-01	0.208897073605
2018-05-02	0.0988426526777
2018-05-03	0.184158483844
2018-05-04	0.184468333902
2018-05-05	0.122282823559
2018-05-06	0.107358623559
2018-05-07	0.183386208233
2018-05-08	0.162183470472
2018-05-09	0.169960220023
2018-05-10	0.169100464333
2018-05-11	0.167721118948
2018-05-12	0.121353083234
2018-05-13	0.0393750260913
2018-05-14	0.0295817499207
2018-05-15	
2018-05-16	
2018-05-17	
2018-05-18	
2018-05-19	
2018-05-20	
2018-05-21	
2018-05-22	0.112537599925
2018-05-23	0.151111728046
2018-05-24	0.14571303147
2018-05-25	-0.124079778031
2018-05-26	-0.119921230412
2018-05-27	-0.0854266827933
2018-05-28	-0.0830994959102
2018-05-29	-0.207349733197
2018-05-30	-0.643070655678
2018-05-31	-0.280327311603
2018-06-01	0.115895910353
2018-06-02	0.181673981782
2018-06-03	0.17067515083
2018-06-04	0.286177615416
2018-06-05	0.228474076983
2018-06-06	0.239803405178
2018-06-07	0.0261155396748
2018-06-08	-0.0241997435242
2018-06-09	-0.0949516149527
2018-06-10	-0.119641705111
2018-06-11	-0.289017116527
2018-06-12	-0.235216672438
2018-06-13	-0.22863535203
2018-06-14	-0.0957015553695
2018-06-15	
2018-06-16	
2018-06-17	
2018-06-18	
2018-06-19	
2018-06-20	
2018-06-21	
2018-06-22	-0.10517551235
2018-06-23	-0.0644942677069
2018-06-24	-0.0221335208152
2018-06-25	-0.129678498421
2018-06-26	-0.110055872698
2018-06-27	-0.0921797197652
2018-06-28	-0.0844878044588
