Date	CHF
2018-11-18	-3.48688476121
2018-11-19	-3.59688282928
2018-11-20	-3.29295871973
2018-11-21	-3.15970125142
2018-11-22	-3.0372583038
2018-11-23	-2.70302920574
2018-11-24	-2.63237663593
2018-11-25	-2.6421695476
2018-11-26	-2.16266870687
2018-11-27	-1.79884468409
2018-11-28	-1.97755668754
2018-11-29	-2.13179404691
2018-11-30	-0.502350869535
2018-12-01	-0.602574778648
2018-12-02	-0.465958356543
2018-12-03	1.51243409158
2018-12-04	1.76252647455
2018-12-05	1.91198431983
2018-12-06	2.21309019111
2018-12-07	
2018-12-08	
2018-12-09	
2018-12-10	
2018-12-11	-3.81313471963
2018-12-12	-3.80808338349
2018-12-13	-3.95211229849
2018-12-14	-4.03164594808
2018-12-15	-4.35592514125
2018-12-16	-4.39410081194
2018-12-17	-4.67691367145
2018-12-18	
2018-12-19	
2018-12-20	
2018-12-21	
2018-12-22	
2018-12-23	
2018-12-24	
2018-12-25	
2018-12-26	
2018-12-27	
2018-12-28	
2018-12-29	
2018-12-30	
2018-12-31	
2019-01-01	
2019-01-02	
2019-01-03	0.458460990482
2019-01-04	0.325339536165
2019-01-05	-0.00357731263623
2019-01-06	-0.529894989743
2019-01-07	-0.720463616826
2019-01-08	-1.20259560072
2019-01-09	-1.33611359374
2019-01-10	
2019-01-11	
2019-01-12	-1.07538944687
2019-01-13	-3.06165669316
2019-01-14	-2.59743959734
2019-01-15	-1.87819969264
2019-01-16	-1.73434382695
2019-01-17	-1.62601056816
2019-01-18	-1.82006177487
2019-01-19	-2.15497448089
2019-01-20	-0.855341533079
2019-01-21	-0.333578089463
2019-01-22	
2019-01-23	
2019-01-24	
2019-01-25	
2019-01-26	
2019-01-27	
2019-01-28	
2019-01-29	0.297956403532
2019-01-30	0.445891194773
2019-01-31	0.568532093258
2019-02-01	0.701257375492
2019-02-02	0.894927524421
2019-02-03	0.754960599605
2019-02-04	0.746506254746
2019-02-05	
2019-02-06	
2019-02-07	
2019-02-08	
2019-02-09	
2019-02-10	
2019-02-11	
2019-02-12	
2019-02-13	
2019-02-14	-2.40241145604
2019-02-15	-2.33200507601
2019-02-16	-2.1073230018
2019-02-17	-2.15720056503
2019-02-18	-2.38862629005
2019-02-19	-2.51344898875
2019-02-20	-2.75525631985
2019-02-21	1.31948505753
2019-02-22	1.55377748447
2019-02-23	1.43109399456
2019-02-24	1.27817815034
2019-02-25	-0.597586908189
2019-02-26	-1.03537412644
2019-02-27	-1.39744832377
2019-02-28	-2.58789962354
2019-03-01	-2.91729113107
2019-03-02	-3.03304516813
2019-03-03	-2.96869060496
2019-03-04	-3.51051357923
2019-03-05	-4.14013487336
2019-03-06	-5.10524186072
2019-03-07	-5.06761228039
2019-03-08	-5.10781107469
2019-03-09	-5.14035312617
2019-03-10	-4.94032290403
2019-03-11	
2019-03-12	
2019-03-13	
2019-03-14	-0.861309093831
2019-03-15	-0.881163196613
2019-03-16	-0.90061607709
2019-03-17	-2.53423817872
2019-03-18	-1.90728643619
2019-03-19	-1.92059968453
2019-03-20	-2.07376071249
2019-03-21	-2.58115565734
2019-03-22	-2.33600010315
2019-03-23	-2.19445740202
2019-03-24	-1.41469490943
2019-03-25	-2.97032062174
2019-03-26	-2.97612917724
2019-03-27	
2019-03-28	
2019-03-29	
2019-03-30	
2019-03-31	
2019-04-01	
2019-04-02	
2019-04-03	
2019-04-04	
2019-04-05	
2019-04-06	
2019-04-07	
2019-04-08	
2019-04-09	
2019-04-10	
2019-04-11	-1.0816511226
2019-04-12	-0.881643324153
2019-04-13	-1.13132127128
2019-04-14	-1.16820652317
2019-04-15	-1.06980319729
2019-04-16	-2.60543751941
2019-04-17	-2.64439456673
2019-04-18	-4.00313783599
2019-04-19	-2.41567927708
2019-04-20	-2.37440315057
2019-04-21	-2.46599248659
2019-04-22	-2.73756239716
2019-04-23	-1.40693915482
2019-04-24	-1.24752022231
2019-04-25	-1.13554124145
2019-04-26	-1.65694380759
2019-04-27	-3.80661309489
2019-04-28	-3.52616278198
2019-04-29	-4.75692918866
