Date	Energy
2017-07-26	0.308011930264
2017-07-27	0.307116768957
2017-07-28	
2017-07-29	
2017-07-30	-0.10279877342
2017-07-31	-0.0139258258013
2017-08-01	-0.0674770262858
2017-08-02	-0.110716547563
2017-08-03	-0.146647690773
2017-08-04	-0.147220853564
2017-08-05	-0.160984645219
2017-08-06	-0.153076916745
2017-08-07	-0.223923134935
2017-08-08	-0.252517487333
2017-08-09	-0.267680573132
2017-08-10	
2017-08-11	
2017-08-12	
2017-08-13	
2017-08-14	-0.0783767447673
2017-08-15	-0.0823328396659
2017-08-16	-0.0808680574152
2017-08-17	-0.0776798705837
2017-08-18	-0.0783314082204
2017-08-19	-0.0610618039544
2017-08-20	-0.168689390196
2017-08-21	-0.260275067632
2017-08-22	-0.254271485844
2017-08-23	-0.24382093504
2017-08-24	-0.24131842974
2017-08-25	-0.234821494503
2017-08-26	-0.210517664329
2017-08-27	
2017-08-28	
2017-08-29	
2017-08-30	
2017-08-31	
2017-09-01	
2017-09-02	
2017-09-03	
2017-09-04	
2017-09-05	
2017-09-06	0.42969340879
2017-09-07	0.139172203063
2017-09-08	0.144521008599
2017-09-09	0.139749068967
2017-09-10	0.119244440986
2017-09-11	0.124425448703
2017-09-12	0.123347979507
2017-09-13	-0.169778940566
2017-09-14	-0.0347723919066
2017-09-15	-0.0456433170819
2017-09-16	-0.0613175456461
2017-09-17	-0.0534975770121
2017-09-18	-0.0682328358502
2017-09-19	-0.0731686201325
2017-09-20	-0.0800393064739
2017-09-21	
2017-09-22	
2017-09-23	
2017-09-24	
2017-09-25	
2017-09-26	
2017-09-27	
2017-09-28	
2017-09-29	
2017-09-30	
2017-10-01	
2017-10-02	
2017-10-03	
2017-10-04	
2017-10-05	
2017-10-06	
2017-10-07	
2017-10-08	
2017-10-09	-0.436968258581
2017-10-10	-0.419381834266
2017-10-11	-0.407949631284
2017-10-12	-0.414799443865
2017-10-13	-0.210987737699
2017-10-14	-0.226708743409
2017-10-15	-0.215061331137
2017-10-16	0.00170113536495
2017-10-17	-0.00662617318203
2017-10-18	-0.00672406384455
2017-10-19	-0.00204678580168
2017-10-20	
2017-10-21	
2017-10-22	
2017-10-23	
2017-10-24	
2017-10-25	
2017-10-26	
2017-10-27	-0.111924626497
2017-10-28	-0.116955689134
2017-10-29	-0.125524470016
2017-10-30	0.0585957555158
2017-10-31	0.0637855654676
2017-11-01	0.0167937528599
2017-11-02	0.00955786624338
2017-11-03	0.0853022297938
2017-11-04	0.0855904134202
2017-11-05	0.0914703424755
2017-11-06	-0.0743846490984
2017-11-07	-0.295095363571
2017-11-08	-0.517571753217
2017-11-09	-0.52330535783
2017-11-10	-0.518622055414
2017-11-11	-0.517425167708
2017-11-12	-0.498545715513
2017-11-13	-0.508995586416
2017-11-14	
2017-11-15	
2017-11-16	-0.249126723754
2017-11-17	-0.147004942086
2017-11-18	-0.146846286496
2017-11-19	-0.135403780773
2017-11-20	-0.13153546679
2017-11-21	-0.144577693825
2017-11-22	-0.13057102264
2017-11-23	-0.0107427499958
2017-11-24	
2017-11-25	
2017-11-26	-0.418371703385
2017-11-27	-0.400373164435
2017-11-28	-0.399467292968
2017-11-29	-0.415903788767
2017-11-30	-0.130463672195
2017-12-01	-0.131010161689
2017-12-02	-0.144770411171
2017-12-03	0.164644676822
2017-12-04	-0.249314228539
2017-12-05	-0.242253535009
2017-12-06	-0.237123683306
2017-12-07	-0.593032686935
2017-12-08	-0.602360379602
2017-12-09	-0.587602237843
2017-12-10	-0.595392862155
2017-12-11	-0.557674496998
2017-12-12	-0.551483080409
2017-12-13	-0.555916935025
2017-12-14	-0.562153571342
2017-12-15	-0.341794002888
2017-12-16	-0.332042015337
2017-12-17	-0.336356582971
2017-12-18	-0.117587386356
2017-12-19	-0.124010300322
2017-12-20	-0.126583443675
2017-12-21	-0.123700341015
2017-12-22	
2017-12-23	
2017-12-24	
2017-12-25	
2017-12-26	
2017-12-27	
2017-12-28	
2017-12-29	
2017-12-30	
2017-12-31	
2018-01-01	
2018-01-02	
2018-01-03	
2018-01-04	
2018-01-05	
2018-01-06	
2018-01-07	
2018-01-08	-0.154779242301
2018-01-09	-0.165364638293
2018-01-10	-0.158673601635
2018-01-11	-0.160011733778
2018-01-12	-0.164264247316
2018-01-13	-0.1304226957
2018-01-14	-0.12768631803
2018-01-15	
2018-01-16	-0.0430713344616
2018-01-17	-0.0416641664493
2018-01-18	-0.0522312971768
2018-01-19	-0.0405105831718
2018-01-20	-0.0424891040415
2018-01-21	-0.0299832467512
2018-01-22	-0.016718736157
2018-01-23	
2018-01-24	
2018-01-25	0.176023797688
2018-01-26	0.178555285464
2018-01-27	0.164406888609
2018-01-28	0.0642380449895
2018-01-29	0.0287766851148
2018-01-30	0.114030993664
2018-01-31	0.119408994042
2018-02-01	0.106686517053
2018-02-02	-0.0563948811712
2018-02-03	-0.0351822932519
2018-02-04	-0.0448966713098
2018-02-05	-0.181536744233
2018-02-06	-0.466460672642
2018-02-07	-0.458070623308
2018-02-08	-0.451203538313
2018-02-09	-0.394592087204
2018-02-10	-0.400319931957
2018-02-11	-0.404809270413
2018-02-12	0.0903709545802
2018-02-13	0.0779007147743
2018-02-14	0.0807607461307
2018-02-15	-0.0115368423345
2018-02-16	-0.0169909260437
2018-02-17	-0.0052395005026
2018-02-18	-0.0106207062747
2018-02-19	-0.101342923575
2018-02-20	-0.100702749412
2018-02-21	-0.100325451602
2018-02-22	
2018-02-23	
2018-02-24	
2018-02-25	
2018-02-26	
2018-02-27	
2018-02-28	
2018-03-01	-0.179641667051
2018-03-02	-0.188350982536
2018-03-03	-0.18266486217
2018-03-04	-0.187559748587
2018-03-05	-0.20416196076
2018-03-06	-0.197418542994
2018-03-07	-0.215169749373
2018-03-08	
2018-03-09	-0.0357013083884
2018-03-10	-0.0248665001833
2018-03-11	-0.0239305772092
2018-03-12	-0.167228206245
2018-03-13	-0.175973283144
2018-03-14	-0.177969216054
2018-03-15	-0.171596662897
