Date	Materials
2018-07-31	-0.166135372601
2018-08-01	-0.144331760453
2018-08-02	-0.105369519434
2018-08-03	-0.0521909125972
2018-08-04	-0.111131484026
2018-08-05	-0.149396041169
2018-08-06	
2018-08-07	
2018-08-08	0.0494525997375
2018-08-09	0.0314455806899
2018-08-10	0.0294573646865
2018-08-11	0.0732238387125
2018-08-12	0.0732782762125
2018-08-13	0.0800863527566
2018-08-14	0.0704983863756
2018-08-15	
2018-08-16	
2018-08-17	-0.289797317763
2018-08-18	-0.241060181789
2018-08-19	-0.262368062146
2018-08-20	-0.183702802996
2018-08-21	-0.187016679945
2018-08-22	-0.208297744231
2018-08-23	-0.216631716973
2018-08-24	-0.141583929354
2018-08-25	-0.198907482211
2018-08-26	-0.205930794645
2018-08-27	
2018-08-28	-0.503056395947
2018-08-29	-0.501675356334
2018-08-30	-0.292242010348
2018-08-31	-0.303740627637
2018-09-01	-0.303567500209
2018-09-02	-0.295289943686
2018-09-03	-0.426634385249
2018-09-04	-0.385780948665
2018-09-05	-0.376657663674
2018-09-06	-0.662888052915
2018-09-07	-0.65386260134
2018-09-08	-0.651302910348
2018-09-09	-0.649766692614
2018-09-10	
2018-09-11	0.361896287173
2018-09-12	0.355172193942
2018-09-13	0.0882126558729
2018-09-14	0.0855683475736
2018-09-15	0.0903967017969
2018-09-16	0.0974090399742
2018-09-17	-0.242567395203
2018-09-18	-0.534211009388
2018-09-19	-0.521258266302
2018-09-20	-0.544428216998
2018-09-21	-0.560849638296
2018-09-22	-0.470617067488
2018-09-23	-0.47057468356
2018-09-24	-0.215631194472
2018-09-25	-0.208319186866
2018-09-26	-0.218843576177
2018-09-27	-0.266884832228
2018-09-28	-0.256515791599
2018-09-29	-0.259527845112
2018-09-30	-0.269606251568
2018-10-01	-0.284078563972
2018-10-02	-0.295457246774
2018-10-03	-0.166981273021
2018-10-04	-0.159159065512
2018-10-05	-0.15354312898
2018-10-06	-0.0747020190045
2018-10-07	-0.0625215713218
2018-10-08	-0.076744248184
2018-10-09	-0.107002976865
2018-10-10	-0.138093933957
2018-10-11	-0.103553060722
2018-10-12	-0.0869240551544
2018-10-13	-0.124502005696
