Date	Information Technology
2017-10-28	-0.572466011697
2017-10-29	-0.571040836499
2017-10-30	-0.524206824099
2017-10-31	-0.439739848011
2017-11-01	-0.47271120728
2017-11-02	-0.471964285692
2017-11-03	-0.468514315653
2017-11-04	-0.464654531287
2017-11-05	-0.412989776055
2017-11-06	-0.375663621843
2017-11-07	-0.373885517235
2017-11-08	-0.374840637279
2017-11-09	-0.375729196057
2017-11-10	-0.409953037221
2017-11-11	-0.338851902745
2017-11-12	-0.340677524903
2017-11-13	-0.342034295574
2017-11-14	-0.365484908359
2017-11-15	-0.414891087104
2017-11-16	-0.405570455064
2017-11-17	-0.381045338127
2017-11-18	-0.37989142826
2017-11-19	-0.380249565908
2017-11-20	-0.383137961888
2017-11-21	-0.355978197241
2017-11-22	-0.355353262736
2017-11-23	-0.3549196545
2017-11-24	-0.354768821668
2017-11-25	-0.351464812546
2017-11-26	-0.354404644579
2017-11-27	-0.355058066065
2017-11-28	-0.358712604585
2017-11-29	-0.357492982167
2017-11-30	-0.388341478464
2017-12-01	-0.352943697383
2017-12-02	-0.351573028498
2017-12-03	-0.351426630215
2017-12-04	-0.288658384958
2017-12-05	-0.259891296731
2017-12-06	-0.269473385881
2017-12-07	-0.271519340188
2017-12-08	-0.272678867382
2017-12-09	-0.267805973388
2017-12-10	-0.224037830784
2017-12-11	-0.280024550778
2017-12-12	-0.278814367331
2017-12-13	-0.278243882616
2017-12-14	-0.175615838521
2017-12-15	-0.0632267665663
2017-12-16	-0.0119349791677
2017-12-17	0.00890707468267
2017-12-18	0.00611159723696
2017-12-19	0.0843238308498
2017-12-20	0.0831728544219
2017-12-21	0.0828515528356
2017-12-22	0.0795253376417
2017-12-23	0.0810400087372
2017-12-24	0.0438372289686
2017-12-25	0.0419244172408
2017-12-26	0.0447136890955
2017-12-27	0.0423946564862
2017-12-28	0.0457219944143
2017-12-29	0.0438222729914
2017-12-30	0.0428753506387
2017-12-31	0.0428030842531
2018-01-01	0.0435483539045
2018-01-02	0.0426311170692
2018-01-03	0.0169218856896
2018-01-04	0.0281120664157
2018-01-05	0.0307823044199
2018-01-06	0.138585744745
2018-01-07	0.138201275765
