Date	RBA Excess Sentiment
2017-12-06	0.395418339166
2017-12-07	0.407104351464
2017-12-08	0.538269462135
2017-12-09	0.206970167792
2017-12-10	0.210678176825
2017-12-11	0.115767545833
2017-12-12	0.189225259111
2017-12-13	0.156442300176
2017-12-14	0.132588269602
2017-12-15	-0.072493510597
2017-12-16	-0.178811553076
2017-12-17	-0.202760898254
2017-12-18	-0.110182071519
2017-12-19	-0.0937441234748
2017-12-20	-0.0656135463477
2017-12-21	0.109805905371
2017-12-22	0.0727644860532
2017-12-23	0.124823015416
2017-12-24	-0.15057774008
2017-12-25	-0.471614920132
2017-12-26	-0.433490724521
2017-12-27	-0.454114903505
2017-12-28	-0.959724233884
2017-12-29	-0.993923868306
2017-12-30	-0.997998212257
2017-12-31	-0.177724853142
2018-01-01	0.253820594783
2018-01-02	-0.00785399438305
2018-01-03	-0.102587189319
2018-01-04	0.228868628283
2018-01-05	0.0520073355891
2018-01-06	0.0936897239537
2018-01-07	-0.31534934083
2018-01-08	-0.093443267626
2018-01-09	0.246818760782
2018-01-10	0.586628595508
2018-01-11	0.387272225337
2018-01-12	0.788152352197
2018-01-13	0.52235759554
2018-01-14	0.28887843616
2018-01-15	0.0136098704775
2018-01-16	0.0861446538833
2018-01-17	0.115479766462
2018-01-18	0.162000865922
2018-01-19	0.00821373632302
2018-01-20	0.181002754719
2018-01-21	0.450261871754
2018-01-22	0.76586952264
2018-01-23	0.384048920659
2018-01-24	0.0479677688082
2018-01-25	0.12990883228
2018-01-26	0.0300802192838
2018-01-27	-0.121726505679
2018-01-28	-0.270258722563
2018-01-29	-0.592709697239
2018-01-30	-0.482907543594
2018-01-31	-0.278570854164
2018-02-01	-0.421038830935
2018-02-02	-0.349243006742
2018-02-03	-0.291797918494
2018-02-04	-0.321227200643
2018-02-05	-0.342538868798
2018-02-06	-0.425166604399
2018-02-07	-0.5968819763
2018-02-08	-0.494503349058
2018-02-09	-0.563185531711
2018-02-10	-0.685405474241
2018-02-11	-0.687460914246
2018-02-12	-0.702946854075
2018-02-13	-0.680561458853
2018-02-14	-0.902686804499
2018-02-15	-0.803237275011
2018-02-16	-0.730175683221
2018-02-17	-0.830956758962
2018-02-18	-0.704613250182
2018-02-19	-0.557732969782
2018-02-20	-0.656166016267
2018-02-21	-0.407170527101
2018-02-22	-0.365318977228
2018-02-23	-0.373682424904
2018-02-24	-0.10636836568
2018-02-25	0.245940614721
2018-02-26	0.242352191333
2018-02-27	0.276497047982
2018-02-28	0.271724792582
2018-03-01	-0.0745928671654
2018-03-02	0.0120578082613
2018-03-03	0.0238516014063
2018-03-04	-0.375931654234
2018-03-05	-0.437619039618
2018-03-06	-0.450793321939
2018-03-07	-0.66305288592
2018-03-08	-0.425850136956
2018-03-09	-0.338122302569
2018-03-10	0.139657546149
2018-03-11	0.16161887419
2018-03-12	0.269093325165
2018-03-13	0.508941702408
2018-03-14	0.907981323436
2018-03-15	1.01876936802
2018-03-16	0.973870182696
2018-03-17	0.363148476903
2018-03-18	0.175055628877
2018-03-19	0.108443497926
2018-03-20	0.0163113856032
2018-03-21	-0.209933269474
2018-03-22	-0.35607680247
2018-03-23	-0.304086750298
2018-03-24	-0.369704331461
2018-03-25	-0.631503965547
2018-03-26	-0.758398976195
2018-03-27	-0.789903559961
2018-03-28	-0.597770519028
2018-03-29	-0.584361797963
2018-03-30	-0.473777452088
2018-03-31	-0.130680210038
2018-04-01	0.183710470188
2018-04-02	0.108563260771
2018-04-03	0.0416359968482
2018-04-04	-0.126173585599
2018-04-05	-0.0829442735023
2018-04-06	-0.338202692854
2018-04-07	-0.794598020085
2018-04-08	-0.876475578938
2018-04-09	-0.575118184791
2018-04-10	-0.31799462223
2018-04-11	-0.140830087243
2018-04-12	-0.0813998978204
2018-04-13	-0.105811538038
2018-04-14	-0.117270794415
2018-04-15	-0.0829089669411
2018-04-16	-0.0630641545251
2018-04-17	-0.21521390063
2018-04-18	-0.244410805007
2018-04-19	-0.274345905375
2018-04-20	-0.289193396799
2018-04-21	0.111316064156
2018-04-22	0.140412128925
2018-04-23	-0.0203295400884
2018-04-24	-0.232363140927
2018-04-25	-0.23197038724
2018-04-26	-0.388664182753
2018-04-27	-0.220734601202
2018-04-28	-0.369504258522
2018-04-29	-0.474385380789
2018-04-30	-0.468391190661
2018-05-01	-0.38231735879
2018-05-02	-0.341858544735
2018-05-03	-0.208491979091
2018-05-04	-0.393708103362
2018-05-05	-0.157814155327
2018-05-06	0.102220511173
2018-05-07	0.176529013801
2018-05-08	0.301048532602
2018-05-09	0.0806441347394
2018-05-10	0.375726411675
2018-05-11	0.446787899537
2018-05-12	0.0961638186462
2018-05-13	0.0320042028543
2018-05-14	0.0437549781569
2018-05-15	-0.00748357401534
2018-05-16	0.0893017634617
2018-05-17	-0.152290771232
2018-05-18	0.0104420985275
2018-05-19	0.180275272798
2018-05-20	0.0804408321642
2018-05-21	0.041824551802
2018-05-22	0.0607565334892
2018-05-23	-0.00485616617228
2018-05-24	-0.149447724517
2018-05-25	-0.15276114882
2018-05-26	-0.59160355731
2018-05-27	-0.598474589657
2018-05-28	-0.321204554831
2018-05-29	-0.781845313237
2018-05-30	-0.61310971386
2018-05-31	-0.588621051249
2018-06-01	-0.672367179567
2018-06-02	-0.274283492118
2018-06-03	-0.250034676504
2018-06-04	-0.467756147952
2018-06-05	0.011439099942
2018-06-06	0.0854872003151
2018-06-07	0.468040596714
2018-06-08	0.241910596245
2018-06-09	0.402712172224
2018-06-10	0.245263340335
2018-06-11	0.216490495095
2018-06-12	0.165343378468
2018-06-13	0.1864934327
2018-06-14	-0.13711724342
2018-06-15	-0.00246107099056
2018-06-16	-0.451179578747
2018-06-17	-0.189139756628
2018-06-18	-0.227366946661
2018-06-19	-0.203130597249
2018-06-20	-0.396114891872
2018-06-21	-0.350673066818
2018-06-22	-0.333716408897
2018-06-23	-0.300585862616
2018-06-24	-0.439858486215
2018-06-25	-0.543830547176
2018-06-26	-0.568429633583
2018-06-27	-0.590226427317
2018-06-28	-0.500509652478
2018-06-29	-0.509072537249
2018-06-30	-0.257004457332
2018-07-01	-0.067772429427
2018-07-02	0.0650637368425
2018-07-03	0.122975592075
2018-07-04	0.211605462578
2018-07-05	0.0714528766584
2018-07-06	-0.217845925869
2018-07-07	-0.65785462196
2018-07-08	-0.811508572658
2018-07-09	-0.774686152342
2018-07-10	-0.763354867127
2018-07-11	-0.785433038126
2018-07-12	-0.860090548876
2018-07-13	-0.608488282988
2018-07-14	-0.0992742372157
2018-07-15	-0.206479387458
2018-07-16	-0.321799177719
2018-07-17	-0.474472791786
2018-07-18	-0.63207745919
2018-07-19	-0.560818632349
2018-07-20	-0.471967996482
2018-07-21	-0.821286686806
2018-07-22	-0.691003048235
2018-07-23	-0.760454236147
2018-07-24	-0.609809961756
2018-07-25	-0.718826560169
2018-07-26	-0.691417358032
2018-07-27	-0.813605529239
2018-07-28	-0.763473258862
2018-07-29	-0.927845103189
2018-07-30	-1.04129922909
2018-07-31	-1.29532407175
2018-08-01	-0.772794480149
2018-08-02	-0.716725907217
2018-08-03	-0.603706904903
2018-08-04	-0.657926486264
2018-08-05	-0.487980542384
2018-08-06	-0.287232104641
2018-08-07	-0.115145169259
2018-08-08	-0.310109490597
2018-08-09	-0.302286085399
2018-08-10	-0.479896323676
2018-08-11	-0.48187048378
2018-08-12	-0.6088019841
2018-08-13	-0.370220316643
2018-08-14	-0.326438786412
2018-08-15	-0.305549722971
2018-08-16	-0.164408319726
2018-08-17	-0.0821705514137
2018-08-18	0.3435742458
2018-08-19	0.469448841476
2018-08-20	0.306237496475
2018-08-21	0.295562647566
2018-08-22	0.417323905438
2018-08-23	0.303334300618
2018-08-24	0.0606811743927
2018-08-25	-0.299965558088
2018-08-26	-0.529500685987
2018-08-27	-0.339862569
2018-08-28	-0.287958031974
2018-08-29	-0.473524519105
2018-08-30	-0.614510057801
2018-08-31	-0.227626778384
2018-09-01	-0.143490525837
2018-09-02	0.118004183187
2018-09-03	-0.101894579714
2018-09-04	-0.118554923254
2018-09-05	-0.049623496508
2018-09-06	0.0851628180437
2018-09-07	-0.11095856321
2018-09-08	0.0149944941392
2018-09-09	0.038081383206
2018-09-10	0.0879961003236
2018-09-11	-0.128667641439
2018-09-12	-0.193142462468
2018-09-13	-0.172328052159
2018-09-14	-0.218817480063
2018-09-15	-0.340176761191
2018-09-16	-0.264495167492
2018-09-17	-0.47131806313
2018-09-18	-0.399157756135
2018-09-19	-0.23246537033
2018-09-20	-0.331498413143
2018-09-21	-0.057622994601
2018-09-22	-0.157761030906
2018-09-23	-0.104256801885
2018-09-24	0.0349859409831
2018-09-25	0.108528884141
2018-09-26	0.161491535379
2018-09-27	0.118819884634
2018-09-28	0.129333795002
2018-09-29	0.491349300025
2018-09-30	0.381139268162
2018-10-01	0.393108802828
2018-10-02	0.372063564633
2018-10-03	0.0463104764152
2018-10-04	0.136464594076
2018-10-05	0.0177369430329
2018-10-06	-0.131549174944
2018-10-07	-0.321507155428
2018-10-08	-0.404181659056
2018-10-09	-0.505199750189
2018-10-10	-0.358977722155
2018-10-11	-0.401003070675
2018-10-12	-0.718148691049
2018-10-13	-0.950592846743
2018-10-14	-0.848842715162
2018-10-15	-0.75447247595
2018-10-16	-0.66103552977
2018-10-17	-0.733180106407
2018-10-18	-0.866031853617
2018-10-19	-0.719478862612
2018-10-20	-0.660775007825
2018-10-21	-0.678043553099
2018-10-22	-0.888224745844
2018-10-23	-0.942715649801
2018-10-24	-1.01924089701
2018-10-25	-0.897439963206
2018-10-26	-0.711513013854
2018-10-27	-1.05265088994
2018-10-28	-1.27418733498
2018-10-29	-1.0567769691
2018-10-30	-1.04018438191
2018-10-31	-0.97022475875
2018-11-01	-0.892695569581
2018-11-02	-0.912512477625
2018-11-03	-0.544730483359
2018-11-04	-0.383900807897
2018-11-05	-0.461355412982
2018-11-06	-0.411153168933
2018-11-07	-0.316054709671
2018-11-08	-0.322578142088
2018-11-09	-0.301138726451
2018-11-10	-0.16457235353
2018-11-11	0.040259149353
2018-11-12	0.241916379283
2018-11-13	0.291842863222
2018-11-14	0.387332444741
2018-11-15	0.311711656558
2018-11-16	0.392762004547
2018-11-17	-0.157927867064
2018-11-18	-0.386564228036
2018-11-19	-0.568760120588
2018-11-20	-0.734535968049
2018-11-21	-1.18408044118
2018-11-22	-1.20931422113
2018-11-23	-1.29672508115
2018-11-24	-0.933669654953
2018-11-25	-0.878777472432
2018-11-26	-0.812113082885
2018-11-27	-0.600174628191
2018-11-28	-0.259952292575
2018-11-29	-0.226558038837
2018-11-30	-0.667252553735
2018-12-01	-0.528775796107
2018-12-02	-0.417278443779
2018-12-03	-0.452199587267
2018-12-04	-0.608237812766
2018-12-05	-0.662647864211
2018-12-06	-0.718872597976
2018-12-07	-0.460013532297
2018-12-08	-0.908520655261
2018-12-09	-1.07918303414
2018-12-10	-1.14007705326
2018-12-11	-1.0164612512
2018-12-12	-0.945661007913
2018-12-13	-1.15605330856
