Date	BancoCentralDoBrasil Excess Sentiment
2017-10-31	-1.75827239359
2017-11-01	-1.84396654794
2017-11-02	-1.71537544406
2017-11-03	-2.69287170441
2017-11-04	-2.78269970726
2017-11-05	-2.77642517241
2017-11-06	-2.72282323744
2017-11-07	
2017-11-08	
2017-11-09	
2017-11-10	
2017-11-11	-2.64021321367
2017-11-12	-2.63587695005
2017-11-13	-2.54275574689
2017-11-14	-2.49341444997
2017-11-15	-2.51288746275
2017-11-16	-2.53986458391
2017-11-17	-2.56218580883
2017-11-18	
2017-11-19	
2017-11-20	
2017-11-21	2.53176217979
2017-11-22	2.46973468507
2017-11-23	2.513214003
2017-11-24	2.51631200547
2017-11-25	2.44488918551
2017-11-26	2.438136793
2017-11-27	2.37155761797
2017-11-28	
2017-11-29	
2017-11-30	3.53357373501
2017-12-01	3.51944775276
2017-12-02	3.63531113133
2017-12-03	3.69244291951
2017-12-04	1.71240908899
2017-12-05	1.68761232885
2017-12-06	0.977641229929
2017-12-07	-0.393210147128
2017-12-08	-0.440648726831
2017-12-09	-0.471267742707
2017-12-10	-0.52137837701
2017-12-11	-0.655590440354
2017-12-12	-0.654082419553
2017-12-13	
2017-12-14	
2017-12-15	
2017-12-16	
2017-12-17	
2017-12-18	
2017-12-19	
2017-12-20	
2017-12-21	1.01895862741
2017-12-22	1.02940401722
2017-12-23	1.02398942422
2017-12-24	1.09861178826
2017-12-25	1.13383606017
2017-12-26	1.13935553091
2017-12-27	1.10037347219
2017-12-28	
2017-12-29	
2017-12-30	
2017-12-31	
2018-01-01	
2018-01-02	
2018-01-03	
2018-01-04	
2018-01-05	
2018-01-06	
2018-01-07	
2018-01-08	
2018-01-09	
2018-01-10	
2018-01-11	
2018-01-12	
2018-01-13	
2018-01-14	
2018-01-15	
2018-01-16	7.36069382086
2018-01-17	7.2386159689
2018-01-18	5.38634761714
2018-01-19	5.46485146174
2018-01-20	5.52664953995
2018-01-21	5.56812988946
2018-01-22	5.69133051
2018-01-23	4.66690772481
2018-01-24	1.86953255643
2018-01-25	
2018-01-26	
2018-01-27	
2018-01-28	
2018-01-29	
2018-01-30	
2018-01-31	
2018-02-01	
2018-02-02	
2018-02-03	
2018-02-04	-2.20929479768
2018-02-05	-2.14547670223
2018-02-06	-2.01839009958
2018-02-07	-0.554704829916
2018-02-08	-0.188757339255
2018-02-09	-0.0394241637128
2018-02-10	-0.0514942262639
2018-02-11	0.844920402535
2018-02-12	0.825882042862
2018-02-13	0.717736824405
2018-02-14	0.437070363736
2018-02-15	
2018-02-16	-3.45142906743
2018-02-17	-3.44217585783
2018-02-18	-3.36822949125
2018-02-19	-3.44560136954
2018-02-20	-3.45666943696
2018-02-21	-3.45114852881
2018-02-22	-3.3853626914
2018-02-23	
2018-02-24	
2018-02-25	
2018-02-26	
2018-02-27	
2018-02-28	
2018-03-01	2.81460819961
2018-03-02	2.85147843143
2018-03-03	2.96288401287
2018-03-04	2.98691667516
2018-03-05	3.11892314199
2018-03-06	3.17648268522
2018-03-07	3.17579560027
2018-03-08	
2018-03-09	
2018-03-10	
2018-03-11	
2018-03-12	
2018-03-13	
2018-03-14	
2018-03-15	
2018-03-16	-4.09642162916
2018-03-17	-4.06601540979
2018-03-18	-3.95450089297
2018-03-19	-2.05427189124
2018-03-20	-2.1108431492
2018-03-21	-1.03682723389
2018-03-22	-1.53781640954
2018-03-23	-0.547595749845
2018-03-24	-0.886612495031
2018-03-25	-1.06833672095
2018-03-26	-1.16604872833
2018-03-27	-0.596182533774
2018-03-28	-0.998722979714
2018-03-29	0.754630371768
2018-03-30	1.30376864416
2018-03-31	1.25794779254
2018-04-01	1.24762160928
2018-04-02	1.20551658348
2018-04-03	1.43767164451
2018-04-04	1.57949064461
2018-04-05	1.3104836265
2018-04-06	1.4725130805
2018-04-07	1.61127054176
2018-04-08	1.71944026534
2018-04-09	1.77515014233
2018-04-10	1.89594172574
2018-04-11	1.51233647093
2018-04-12	1.42084249033
2018-04-13	1.33817797213
2018-04-14	1.32629576529
2018-04-15	0.124514494539
2018-04-16	-0.463449111649
2018-04-17	-1.227611322
2018-04-18	-2.18474122196
2018-04-19	-2.21108412448
2018-04-20	-2.18394487265
2018-04-21	-2.168938245
2018-04-22	-2.17416044419
2018-04-23	-3.37614481206
2018-04-24	-3.80299448331
2018-04-25	-3.80892093268
2018-04-26	-3.84602702055
2018-04-27	-3.84210171484
2018-04-28	-3.70231941009
2018-04-29	-3.70079080628
2018-04-30	-4.0462413845
2018-05-01	
2018-05-02	
2018-05-03	
2018-05-04	
2018-05-05	
2018-05-06	
2018-05-07	-2.83492961113
2018-05-08	-2.79698949076
2018-05-09	-2.68763819705
2018-05-10	-2.72858037226
2018-05-11	-2.70243789571
2018-05-12	-2.69181685593
2018-05-13	-2.72190702119
2018-05-14	
2018-05-15	
2018-05-16	
2018-05-17	-1.7973961728
2018-05-18	-2.86299850108
2018-05-19	-1.77395410631
2018-05-20	-1.76413349339
2018-05-21	-1.62000867401
2018-05-22	-1.59674091995
2018-05-23	-1.56650118334
2018-05-24	-1.46499398574
2018-05-25	-0.353034300956
2018-05-26	-0.659563132002
2018-05-27	-0.653111420223
2018-05-28	-0.374707893204
2018-05-29	0.517279292543
2018-05-30	0.498824963963
2018-05-31	0.428737212174
2018-06-01	
2018-06-02	
2018-06-03	
2018-06-04	2.88522750084
2018-06-05	0.853566559517
2018-06-06	0.119325920139
2018-06-07	0.00970441829656
2018-06-08	-0.286267573295
2018-06-09	-0.259684874331
2018-06-10	-0.445907925133
2018-06-11	-1.1321955974
2018-06-12	-1.05353349238
2018-06-13	-1.01891725063
2018-06-14	-1.3435945045
2018-06-15	-1.17599805241
2018-06-16	-1.55280690334
2018-06-17	-1.64353075993
2018-06-18	-1.5528292672
2018-06-19	-1.41835267993
2018-06-20	-1.24751208231
2018-06-21	-0.758544926512
2018-06-22	-0.873328451388
2018-06-23	-0.518355425464
2018-06-24	-0.124622986774
2018-06-25	-0.219605694669
2018-06-26	-0.974944380238
2018-06-27	-1.32117448228
2018-06-28	-2.07022291156
2018-06-29	-1.48252764183
2018-06-30	-1.35879362177
2018-07-01	-1.43069653549
2018-07-02	-1.23222832821
2018-07-03	-1.18734129511
2018-07-04	-1.2775584233
2018-07-05	-1.27462814272
2018-07-06	-2.61023510531
2018-07-07	-2.87432253364
2018-07-08	-2.82460698176
2018-07-09	-2.91312944959
2018-07-10	
2018-07-11	
2018-07-12	
2018-07-13	4.86776767041
2018-07-14	4.99718275215
2018-07-15	5.00890426712
2018-07-16	0.656589279307
2018-07-17	0.912052840397
2018-07-18	0.846528218228
2018-07-19	0.929664655638
2018-07-20	-1.08510102028
2018-07-21	-1.15292401159
2018-07-22	-1.09992683459
2018-07-23	1.55943773058
2018-07-24	
2018-07-25	
2018-07-26	
2018-07-27	
2018-07-28	0.468537678705
2018-07-29	0.264245449733
2018-07-30	-0.785998212212
2018-07-31	-0.766473989929
2018-08-01	-1.27856093677
2018-08-02	-0.879433962566
2018-08-03	-0.801610711111
2018-08-04	-1.15555952329
2018-08-05	-1.00934590725
2018-08-06	-0.804241919829
2018-08-07	-0.793586096241
2018-08-08	-0.163498077546
2018-08-09	-0.776370059586
2018-08-10	-0.712572866906
2018-08-11	-0.525959867297
2018-08-12	-0.46012059572
2018-08-13	-0.32069223576
2018-08-14	-1.72493513997
2018-08-15	-1.62301041365
2018-08-16	-1.64267668308
2018-08-17	-1.68814706845
2018-08-18	-1.7327913072
2018-08-19	-1.85474369561
2018-08-20	0.465258610984
2018-08-21	2.92001293794
2018-08-22	0.899677270751
2018-08-23	0.88492498637
2018-08-24	0.855192891628
2018-08-25	0.772040919985
2018-08-26	0.667142733591
2018-08-27	-1.23782857639
2018-08-28	-1.31139003493
2018-08-29	
2018-08-30	-3.24994062354
2018-08-31	-2.00402170225
2018-09-01	-1.9525791265
2018-09-02	-1.75942631658
2018-09-03	-1.59724059981
2018-09-04	-1.46723746092
2018-09-05	0.629118834669
2018-09-06	2.32132117476
2018-09-07	4.71519629366
2018-09-08	3.50849720707
2018-09-09	3.53488376887
2018-09-10	3.45286060686
2018-09-11	3.42446014548
2018-09-12	2.10020299871
2018-09-13	-1.03050744516
2018-09-14	-1.35838019525
2018-09-15	-3.04373612615
2018-09-16	-3.11218038494
2018-09-17	-2.44749935495
2018-09-18	-2.47400649968
2018-09-19	-2.4692529345
2018-09-20	-1.52453706389
2018-09-21	-1.30438288268
2018-09-22	-1.32618863819
2018-09-23	-1.32178285706
2018-09-24	-1.3896140387
2018-09-25	-1.40211104204
2018-09-26	-0.493503979101
2018-09-27	
2018-09-28	
2018-09-29	
2018-09-30	
2018-10-01	
2018-10-02	
2018-10-03	-2.65066394393
2018-10-04	-2.64537261447
2018-10-05	-2.67934647434
2018-10-06	-2.64021385764
2018-10-07	-2.58205597233
2018-10-08	-2.53894264437
2018-10-09	-0.44414948505
2018-10-10	1.43907430781
2018-10-11	1.50984363588
2018-10-12	-0.0917904965393
2018-10-13	-0.163730085997
2018-10-14	-0.215143038796
2018-10-15	-0.521372363422
2018-10-16	-1.30323753553
2018-10-17	-2.46693718872
2018-10-18	-2.85163426931
2018-10-19	-2.59003343147
2018-10-20	-2.47533388294
2018-10-21	-2.48696511319
2018-10-22	-3.11059566592
2018-10-23	-3.02151838973
2018-10-24	-2.99687918338
2018-10-25	-2.71024554967
2018-10-26	
2018-10-27	
2018-10-28	
2018-10-29	-0.7912511794
2018-10-30	0.281121498304
2018-10-31	0.154774066223
2018-11-01	-1.11187710182
2018-11-02	-1.20412686373
2018-11-03	-1.17879994898
2018-11-04	-1.17701134618
2018-11-05	-1.24653025831
2018-11-06	-1.56985717177
2018-11-07	-2.37037186706
2018-11-08	-0.214841632888
2018-11-09	-0.083093680637
2018-11-10	-0.0498331930896
2018-11-11	0.056155466135
2018-11-12	-0.601066053016
2018-11-13	-1.13778964511
2018-11-14	-1.04425443846
2018-11-15	-3.41275947885
2018-11-16	-2.23889258352
2018-11-17	-2.28632320232
2018-11-18	-2.36106619294
2018-11-19	-2.51133205379
2018-11-20	-2.44132070929
2018-11-21	-2.43356624167
2018-11-22	0.144167101556
2018-11-23	
2018-11-24	
2018-11-25	
2018-11-26	
2018-11-27	-1.63086368855
2018-11-28	-0.752001879572
2018-11-29	-0.725197108349
2018-11-30	-0.751800228796
2018-12-01	-0.853301209134
2018-12-02	-0.831167874652
2018-12-03	-1.517781591
2018-12-04	-2.18883649524
2018-12-05	-3.23043575277
2018-12-06	-3.14457708185
2018-12-07	-2.35045739076
2018-12-08	-0.871353046188
2018-12-09	-1.29302129496
2018-12-10	-0.795384758802
2018-12-11	0.105650126279
2018-12-12	-0.429225017761
2018-12-13	-0.82007559438
2018-12-14	-0.762796562952
2018-12-15	-2.03746543714
2018-12-16	-1.56364162823
2018-12-17	-1.03811174494
2018-12-18	-1.04008742788
2018-12-19	-0.667164172653
2018-12-20	-0.327164762539
2018-12-21	1.78756102244
2018-12-22	1.7609454502
2018-12-23	1.73004340908
2018-12-24	2.49793033799
2018-12-25	2.39004300612
2018-12-26	2.31271852363
2018-12-27	5.76488126975
2018-12-28	
2018-12-29	
2018-12-30	
2018-12-31	
2019-01-01	
2019-01-02	
2019-01-03	
2019-01-04	0.335996557429
2019-01-05	0.29665521714
2019-01-06	0.222923611182
2019-01-07	0.171351200887
2019-01-08	0.227097085711
2019-01-09	0.147688718711
2019-01-10	0.0433698540056
2019-01-11	
2019-01-12	
2019-01-13	
2019-01-14	
2019-01-15	
2019-01-16	
2019-01-17	
2019-01-18	
2019-01-19	
2019-01-20	
2019-01-21	
2019-01-22	
2019-01-23	
2019-01-24	
2019-01-25	
2019-01-26	
2019-01-27	
2019-01-28	
2019-01-29	
2019-01-30	
2019-01-31	
2019-02-01	
2019-02-02	
2019-02-03	
2019-02-04	-0.80930329039
2019-02-05	0.451063491379
2019-02-06	-0.299737242941
2019-02-07	-1.17913887348
2019-02-08	-1.14484825078
2019-02-09	-1.12364532594
2019-02-10	-1.06284314216
2019-02-11	-0.92557363609
2019-02-12	-1.58860921463
2019-02-13	-1.6241303146
2019-02-14	-0.529379224364
2019-02-15	-0.543607050739
2019-02-16	-0.107756040592
2019-02-17	-0.143466804531
2019-02-18	-0.00641198018759
2019-02-19	0.77247498023
2019-02-20	0.723176275658
2019-02-21	-1.06930170611
2019-02-22	-1.12168009821
2019-02-23	-2.8660143509
2019-02-24	-2.31196037851
2019-02-25	-2.3289139527
2019-02-26	-2.31339978586
2019-02-27	-2.25878167592
2019-02-28	-0.417812622566
2019-03-01	-0.456346692338
2019-03-02	-0.549863271962
2019-03-03	0.66363551629
2019-03-04	0.643220894072
2019-03-05	0.713269164006
2019-03-06	0.741541099591
2019-03-07	
2019-03-08	
2019-03-09	
2019-03-10	
2019-03-11	
2019-03-12	
2019-03-13	
2019-03-14	
2019-03-15	
2019-03-16	
2019-03-17	
2019-03-18	-2.21659337209
2019-03-19	-1.58385661101
2019-03-20	-1.34281766321
2019-03-21	-1.427555323
2019-03-22	-1.35851293253
2019-03-23	-1.28772268764
2019-03-24	-1.15583305148
2019-03-25	-1.50293446125
2019-03-26	-1.97276173064
2019-03-27	-3.01476140756
2019-03-28	-3.19519194083
2019-03-29	-2.96522330071
2019-03-30	-2.9778190033
2019-03-31	-3.06776470783
2019-04-01	-2.1124291483
2019-04-02	-1.98990267522
2019-04-03	-1.09022694419
2019-04-04	-0.520252039192
2019-04-05	2.56694816843
2019-04-06	2.58650693795
2019-04-07	2.49381632276
2019-04-08	3.78138961585
2019-04-09	3.77797896221
2019-04-10	3.78233837633
2019-04-11	3.82580951885
2019-04-12	
2019-04-13	
2019-04-14	
2019-04-15	0.0846198053943
2019-04-16	-0.975743764581
2019-04-17	-0.979738707257
2019-04-18	-1.01754655098
2019-04-19	-0.984494869663
2019-04-20	-0.889474578093
2019-04-21	-0.881394838757
