Date	SARB Hawkish-Dovish
2017-10-01	0.00028743891923
2017-10-02	0.00028743891923
2017-10-03	0.00028743891923
2017-10-04	-0.00062055139554
2017-10-05	-0.000581832454366
2017-10-06	-0.000283592072618
2017-10-07	-0.000283592072618
2017-10-08	-0.000283592072618
2017-10-09	-0.00117090351894
2017-10-10	-0.00117090351894
2017-10-11	-0.000262913204166
2017-10-12	-0.00058907106457
2017-10-13	-0.000887311446318
2017-10-14	-0.000887311446318
2017-10-15	-0.000887311446318
2017-10-16	4.98732999343e-18
2017-10-17	0.000562429696288
2017-10-18	0.000562429696288
2017-10-19	0.000562429696288
2017-10-20	0.000562429696288
2017-10-21	0.000562429696288
2017-10-22	0.000562429696288
2017-10-23	0.000562429696288
2017-10-24	4.93311988481e-18
2017-10-25	-0.000269541778976
2017-10-26	-0.000269541778976
2017-10-27	-0.000564701165044
2017-10-28	-0.000564701165044
2017-10-29	-0.000564701165044
2017-10-30	-0.000564701165044
2017-10-31	-0.000564701165044
2017-11-01	-0.000295159386068
2017-11-02	-0.000295159386068
2017-11-03	4.77048955894e-18
2017-11-04	4.77048955894e-18
2017-11-05	4.77048955894e-18
2017-11-06	1.23908819713e-19
2017-11-07	1.23908819713e-19
2017-11-08	1.23908819713e-19
2017-11-09	0.0002828854314
2017-11-10	0.0002828854314
2017-11-11	0.0002828854314
2017-11-12	0.0002828854314
2017-11-13	0.0002828854314
2017-11-14	0.0002828854314
2017-11-15	0.0002828854314
2017-11-16	4.66206934169e-18
2017-11-17	4.66206934169e-18
2017-11-18	4.66206934169e-18
2017-11-19	4.66206934169e-18
2017-11-20	-0.000572573718866
2017-11-21	-0.000572573718866
2017-11-22	-0.000572573718866
2017-11-23	-0.00194620009249
2017-11-24	-0.00194620009249
2017-11-25	-0.00194620009249
2017-11-26	-0.00194620009249
2017-11-27	-0.00137362637363
2017-11-28	-0.00169108669109
2017-11-29	-0.00169108669109
2017-11-30	-0.00031746031746
2017-12-01	-0.00031746031746
2017-12-02	-0.00031746031746
2017-12-03	-0.00031746031746
2017-12-04	-2.35155790711e-05
2017-12-05	0.000293944738389
